"","j","error","rmse","cor","auc","gamma","cost"
"1",1,21.2068475373109,21.0637774239579,0.555947335205773,0.841950399327449,1e-05,0.5
"2",2,20.4217337356717,20.230713117694,0.573907227358064,0.846574190836486,2e-05,0.5
"3",3,19.8254517821042,19.632695114806,0.589541382041289,0.849096258932325,3e-05,0.5
"4",4,19.2772427297511,19.1032624582175,0.59778370176887,0.849096258932325,4e-05,0.5
"5",5,18.8769136798171,18.709493813647,0.611741676091578,0.848675914249685,5e-05,0.5
"6",6,18.4716963495009,18.3534955650527,0.61962307797236,0.846994535519126,6e-05,0.5
"7",7,18.0897370227944,18.0228889031369,0.624723555747993,0.846994535519126,7e-05,0.5
"8",8,17.7725916497567,17.7459700149527,0.632872448316012,0.848675914249685,8e-05,0.5
"9",9,17.4982688315629,17.5120972094375,0.640727371892241,0.850357292980244,9e-05,0.5
"10",10,17.268079301169,17.2756434275706,0.650481159550635,0.849516603614964,1e-04,0.5
"11",11,17.0523819289201,17.061524089626,0.661245531389763,0.851197982345523,0.00011,0.5
"12",12,16.8032664018309,16.8444431634046,0.67007029537588,0.852879361076082,0.00012,0.5
"13",13,16.5651130834124,16.6309222406211,0.677611944710714,0.852459016393443,0.00013,0.5
"14",14,16.3537358329206,16.4378709656232,0.686456865557316,0.851618327028163,0.00014,0.5
"15",15,16.1649582806807,16.2635707338058,0.694969051724894,0.852038671710803,0.00015,0.5
"16",16,15.9759200373541,16.0886897135257,0.702955149790491,0.853720050441362,0.00016,0.5
"17",17,15.7959594533127,15.9135842136126,0.710605936342234,0.853299705758722,0.00017,0.5
"18",18,15.6236600459383,15.759147203468,0.716955453679721,0.852879361076082,0.00018,0.5
"19",19,15.4519662818999,15.6036770562364,0.72405739516953,0.852879361076082,0.00019,0.5
"20",20,15.299390760057,15.4553025738066,0.730890445299807,0.851618327028163,2e-04,0.5
"21",21,15.1460944002322,15.3089365776112,0.737180000779756,0.850357292980244,0.00021,0.5
"22",22,14.9898575767393,15.1480093948822,0.74391404876769,0.846153846153846,0.00022,0.5
"23",23,14.8326848748588,14.9817890231235,0.750605964018716,0.842370744010088,0.00023,0.5
"24",24,14.672938080168,14.8184072939249,0.756922652119493,0.841109709962169,0.00024,0.5
"25",25,14.5175280136806,14.6703465821885,0.762469979817999,0.837746952501051,0.00025,0.5
"26",26,14.3772040989116,14.5361331648444,0.767470194556173,0.837326607818411,0.00026,0.5
"27",27,14.2441851204021,14.4065925703063,0.77234302147484,0.836906263135772,0.00027,0.5
"28",28,14.1158515769569,14.2913947588122,0.7767862387813,0.834384195039933,0.00028,0.5
"29",29,13.9879239848338,14.180371764713,0.781252253049126,0.832702816309374,0.00029,0.5
"30",30,13.8623424685128,14.0717722207273,0.785535243628917,0.833963850357293,3e-04,0.5
"31",31,13.7443528386824,13.971703359114,0.789241462246616,0.832282471626734,0.00031,0.5
"32",32,13.6289471013752,13.8713192266315,0.792852921792794,0.830601092896175,0.00032,0.5
"33",33,13.5107878301547,13.7661422751119,0.796493664602349,0.828499369482976,0.00033,0.5
"34",34,13.3995888459121,13.6671151719651,0.799850022067072,0.826397646069777,0.00034,0.5
"35",35,13.2944213582115,13.5730562038635,0.802913388977348,0.823875577973939,0.00035,0.5
"36",36,13.1930940275948,13.4796717539118,0.805900570270496,0.82219419924338,0.00036,0.5
"37",37,13.0948699498689,13.3857144005986,0.808881641026426,0.822614543926019,0.00037,0.5
"38",38,12.9974072266511,13.2924538552897,0.811954165063365,0.8213535098781,0.00038,0.5
"39",39,12.8999036382837,13.1975302354345,0.815044025361252,0.818411097099622,0.00039,0.5
"40",40,12.8099624896833,13.106566804962,0.817962123430845,0.816729718369063,4e-04,0.5
"41",41,12.7211004205674,13.0175203967883,0.820773851966121,0.815048339638504,0.00041,0.5
"42",42,12.6439351398918,12.936627769839,0.823356017813563,0.816729718369062,0.00042,0.5
"43",43,12.5709574946553,12.8600217394035,0.825983545679926,0.814627994955864,0.00043,0.5
"44",44,12.4983210061622,12.7849559737994,0.828552684692496,0.812526271542665,0.00044,0.5
"45",45,12.4305743221986,12.714895150857,0.830995429093143,0.810844892812106,0.00045,0.5
"46",46,12.3618349398466,12.6460262654866,0.833369940172802,0.809163514081547,0.00046,0.5
"47",47,12.2934527901932,12.5788124796525,0.835642159604221,0.807482135350988,0.00047,0.5
"48",48,12.2221321637128,12.5102159916102,0.837973179320583,0.80369903320723,0.00048,0.5
"49",49,12.1490018357061,12.44161815743,0.840289463526376,0.801597309794031,0.00049,0.5
"50",50,12.0738919561088,12.37311598203,0.842396747330537,0.797393862967633,5e-04,0.5
"51",51,12.0073356241599,12.3144933299264,0.844064709947112,0.795712484237074,0.00051,0.5
"52",52,11.9436854696687,12.2598101653579,0.845593866383747,0.794871794871794,0.00052,0.5
"53",53,11.8868068695011,12.2088402608453,0.846985744177472,0.794451450189155,0.00053,0.5
"54",54,11.8340016524319,12.1607162294947,0.848324681999029,0.794451450189155,0.00054,0.5
"55",55,11.786824136958,12.1169314839488,0.849523648366479,0.793610760823875,0.00055,0.5
"56",56,11.7434218725244,12.0750357089975,0.850666214247415,0.792770071458596,0.00056,0.5
"57",57,11.6991946502926,12.0352716298568,0.851765763448032,0.791929382093316,0.00057,0.5
"58",58,11.6597459964533,11.9998881086753,0.852772688373998,0.791509037410676,0.00058,0.5
"59",59,11.6204700562736,11.9650448114589,0.853753577967755,0.791509037410676,0.00059,0.5
"60",60,11.5795262147758,11.93012986601,0.854727975015526,0.791088692728037,6e-04,0.5
"61",61,11.5414050149274,11.8982556655115,0.855621258132716,0.790668348045397,0.00061,0.5
"62",62,11.5040838663491,11.8666270058026,0.85651924571401,0.789407313997478,0.00062,0.5
"63",63,11.4696376993743,11.8366052667088,0.857353493993602,0.788986969314838,0.00063,0.5
"64",64,11.4368672704426,11.8079100063554,0.858169576331638,0.787305590584279,0.00064,0.5
"65",65,11.4050035481316,11.7801903036693,0.858942788730611,0.786885245901639,0.00065,0.5
"66",66,11.3729662794578,11.7520095610095,0.859719743606851,0.78562421185372,0.00066,0.5
"67",67,11.3407410071487,11.7235869891909,0.860489390799573,0.78520386717108,0.00067,0.5
"68",68,11.3090686951844,11.6937131502133,0.861272319285011,0.782261454392602,0.00068,0.5
"69",69,11.2788057830625,11.6650454519417,0.86201558374613,0.781420765027322,0.00069,0.5
"70",70,11.2460412148128,11.633991214691,0.862828253190686,0.780580075662043,7e-04,0.5
"71",71,11.211245030488,11.6016720954334,0.863680420865055,0.780159730979403,0.00071,0.5
"72",72,11.1750824517724,11.5689511825265,0.864491902166108,0.779319041614123,0.00072,0.5
"73",73,11.1416243595905,11.5395574209017,0.86522223783293,0.778898696931484,0.00073,0.5
"74",74,11.1066267996106,11.508845991305,0.865990251652664,0.778058007566204,0.00074,0.5
"75",75,11.0734194621652,11.4801718511906,0.866702113611601,0.776376628835645,0.00075,0.5
"76",76,11.0387175444566,11.4519272721213,0.867383361544622,0.775535939470365,0.00076,0.5
"77",77,11.0056881210328,11.4257967996377,0.868011568684914,0.773854560739806,0.00077,0.5
"78",78,10.9742645108945,11.400034815008,0.868621579390516,0.770912147961328,0.00078,0.5
"79",79,10.943310024979,11.3751002068935,0.869216808681293,0.770491803278688,0.00079,0.5
"80",80,10.913616947447,11.3511981672021,0.869790634576853,0.769230769230769,8e-04,0.5
"81",81,10.8856695403656,11.3293708909488,0.870337221874491,0.76796973518285,0.00081,0.5
"82",82,10.858703834158,11.3097741487404,0.870820111876785,0.76670870113493,0.00082,0.5
"83",83,10.8347255423032,11.2923716544126,0.871267143767516,0.763766288356452,0.00083,0.5
"84",84,10.8112505789808,11.2745171643918,0.871701578017513,0.760403530895334,0.00084,0.5
"85",85,10.788284185385,11.2579037784999,0.872126681480738,0.759142496847415,0.00085,0.5
"86",86,10.7659683823856,11.2413422991117,0.872533839641488,0.757881462799495,0.00086,0.5
"87",87,10.7464927870558,11.2274111307103,0.872872048052751,0.756620428751576,0.00087,0.5
"88",88,10.726713765871,11.2143162571916,0.873194329799048,0.756200084068936,0.00088,0.5
"89",89,10.7085945566029,11.2009442041326,0.873542537145966,0.754518705338377,0.00089,0.5
"90",90,10.6900802499265,11.188216205179,0.873842968233773,0.753257671290458,9e-04,0.5
"91",91,10.6719503701505,11.1755034275893,0.874168276949199,0.752837326607818,0.00091,0.5
"92",92,10.6562790945128,11.1648031296767,0.874433356264798,0.751576292559899,0.00092,0.5
"93",93,10.6416231057098,11.1550424306857,0.874639141253758,0.750735603194619,0.00093,0.5
"94",94,10.6263784790515,11.1454504669543,0.87488591810771,0.75031525851198,0.00094,0.5
"95",95,10.6132663543965,11.1367993639658,0.875074016424181,0.74989491382934,0.00095,0.5
"96",96,10.5980144647942,11.1274389534369,0.875302566801296,0.74821353509878,0.00096,0.5
"97",97,10.5840070711714,11.1182283316602,0.875506867908798,0.747793190416141,0.00097,0.5
"98",98,10.5711145581524,11.1115693114322,0.875668401625437,0.745691467002942,0.00098,0.5
"99",99,10.5590423533898,11.1053565084299,0.875800290076332,0.745271122320302,0.00099,0.5
"100",100,10.5474717613347,11.0999780215143,0.875905461173371,0.744850777637662,0.001,0.5
"101",101,10.5357372841734,11.0939500608668,0.875999107965893,0.744010088272383,0.00101,0.5
"102",102,10.5233012526987,11.0874134588443,0.876117545986975,0.743589743589743,0.00102,0.5
"103",103,10.5115433248316,11.0817748665092,0.876221398439677,0.741908364859184,0.00103,0.5
"104",104,10.4998907680466,11.0757631134274,0.876316141699778,0.741488020176545,0.00104,0.5
"105",105,10.488377034856,11.0699513199463,0.876435740068394,0.740647330811265,0.00105,0.5
"106",106,10.4771222404087,11.0640635467243,0.876553621246444,0.740647330811265,0.00106,0.5
"107",107,10.4661083995564,11.058486744119,0.876667804854746,0.740226986128625,0.00107,0.5
"108",108,10.4555442047116,11.0533088718055,0.876768980809354,0.740226986128625,0.00108,0.5
"109",109,10.4455279780194,11.0483491212805,0.876868044774536,0.740226986128625,0.00109,0.5
"110",110,10.4340256929792,11.0428935861944,0.876974518258053,0.739806641445986,0.0011,0.5
"111",111,10.4248322635059,11.0387200296158,0.877052841066324,0.739806641445986,0.00111,0.5
"112",112,10.4143042625091,11.0343359985617,0.877147593737404,0.738965952080706,0.00112,0.5
"113",113,10.4045106183679,11.0297546304287,0.877233510913531,0.737284573350147,0.00113,0.5
"114",114,10.3948431459557,11.0258174145996,0.877311544269161,0.736864228667507,0.00114,0.5
"115",115,10.3857120721605,11.0215577666491,0.877384682874779,0.736443883984867,0.00115,0.5
"116",116,10.3755109526204,11.0173299230605,0.877478438417083,0.735182849936948,0.00116,0.5
"117",117,10.3655699656264,11.013374610906,0.877532031022577,0.734342160571669,0.00117,0.5
"118",118,10.3555760167706,11.0091313881788,0.877610969104545,0.73266078184111,0.00118,0.5
"119",119,10.3464728628182,11.0056297079119,0.877657213622563,0.73224043715847,0.00119,0.5
"120",120,10.3363709688327,11.0012437046473,0.87772829183752,0.730979403110551,0.0012,0.5
"121",121,10.3276558819098,10.9972628276522,0.877799272437929,0.730979403110551,0.00121,0.5
"122",122,10.3201227812161,10.9941841441449,0.877852565623702,0.730138713745271,0.00122,0.5
"123",123,10.3122493549435,10.9916020585184,0.877871318792191,0.730138713745271,0.00123,0.5
"124",124,10.3044492062387,10.9881100857271,0.877929644380477,0.728457335014712,0.00124,0.5
"125",125,10.2964378870694,10.9843891934713,0.878000276938665,0.726355611601513,0.00125,0.5
