"","Variable","Importance","StDev"
"1","CCL11",0.649708977716345,0.0854176526247863
"2","AGRP",0.53856320433791,0.0420819112608838
"3","VEGFD",0.519879863378083,0.082729744177036
"4","CNTN2",0.512080252850224,0.0614099309467206
"5","GFAP",0.457943219323989,0.0448966359923939
"6","TREM2",0.454850113981302,0.0757870878449609
"7","HBA1",0.390322886312381,0.0467574984973139
"8","IL12p70",0.340418777868816,0.0710814497440787
"9","FGF21",0.336610048764164,0.0454559868742475
"10","BMP7",0.310931321596967,0.0491508214871379
"11","TNFSF15",0.304892844584643,0.0358744641435623
"12","HLA-DRA",0.301336623646551,0.0501946232095345
"13","THPO",0.300651227571545,0.0245833612754626
"14","AGER",0.277341957858925,0.0461901437201747
"15","NEFL",0.255839813129485,0.0719449681834588
"16","BST2",0.254499542757563,0.0393204262299261
"17","CCL21",0.242987627590315,0.0634113445419389
"18","IL7R",0.241508498873548,0.0464454465241976
"19","BACE1",0.23203626781525,0.0549965239257305
"20","TAFA5",0.228893466655689,0.0437617474980981
"21","S100A12",0.228619304050356,0.0609838636113561
"22","KDR",0.227123100972437,0.0437127450218777
"23","FGF23",0.223806056394508,0.0298877690504185
"24","CCL22",0.222886221199372,0.0287081808332007
"25","IL15RA",0.218609808292156,0.0461436795488376
"26","CXCL5",0.21736025653165,0.0374348831429655
"27","IL4R",0.211022013165629,0.0382695800199472
"28","CHI3L1",0.206254908764761,0.042324065857935
"29","NEFH",0.198695846878691,0.0309514584874125
"30","KLRK1",0.196829736986996,0.0288256556469798
"31","VSNL1",0.195495405992868,0.0630669092008277
"32","IL5RA",0.19111601790561,0.0340887261065577
"33","PDLIM5",0.190214247949006,0.0370599509983217
"34","FTH1",0.187340243153638,0.0247501020406862
"35","CD63",0.181042138699319,0.0480192633955309
"36","SDC1",0.177237320326307,0.0615792888839171
"37","CCL2",0.176712026291599,0.0435083724551222
"38","TNFSF10",0.17636137557056,0.048187603580395
"39","TNFRSF13B",0.173507348458582,0.026473538868919
"40","OSMR",0.169703411329534,0.058483894270008
"41","IL24",0.158909076316129,0.0312812793616526
"42","CST7",0.153147349053369,0.0337383954820242
"43","NPTXR",0.152565190736847,0.0310086914938155
"44","KLK6",0.151241600280014,0.0260894218355933
"45","VGF",0.145830364095416,0.0233630929724912
"46","IL1R1",0.145738113685578,0.0473454610058431
"47","MAPT",0.144512608463043,0.0302394526028085
"48","GOT1",0.140267603000037,0.0366718398338239
"49","CRH",0.137662318997913,0.0467725705803887
"50","IL36B",0.137398894974815,0.0133004743398323
"51","S100A9",0.137219657518295,0.0483714001334799
"52","IL33",0.136174375648224,0.040621637477731
"53","CSF3",0.134277361837064,0.0333828327105149
"54","THBS2",0.133401549601642,0.0335702606206593
"55","CD274",0.132058098005165,0.026073430944147
"56","AGRN",0.125764573725384,0.0302091071618005
"57","VCAM1",0.125206099876665,0.0401591990712897
"58","PDGFA",0.122600132292352,0.0390099660906944
"59","C1QA",0.122283086116795,0.0383798690030528
"60","GDNF",0.122115664070675,0.0642674997357903
"61","HAVCR1",0.118611838164087,0.0315180388464822
"62","IL1RN",0.116590082055975,0.0243969429663307
"63","FGF19",0.113799247271567,0.0211049974128576
"64","NPTX2",0.112657840897433,0.0498968676850867
"65","CCL26",0.10833147409707,0.0431774966838854
"66","IL10RB",0.108285506883314,0.0308798373837501
"67","IL1R2",0.107626225583554,0.0336836843952386
"68","FABP3",0.105826350591038,0.040414901834441
"69","YWHAZ",0.104997745987831,0.0392318021862281
"70","IL23",0.101808172070777,0.034566610847983
"71","IL17RA",0.101208615696756,0.0379441474866551
"72","SMOC1",0.100844725361205,0.034017394759526
"73","CCL13",0.0994786299894512,0.0331043603235684
"74","CX3CL1",0.0978135794349736,0.0234886072724656
"75","SNAP25",0.0974356525385246,0.0310729763714544
"76","IL17A",0.0964305947795707,0.028883720752486
"77","IL2",0.0938865845958504,0.0283526332479503
"78","IFNG",0.0931694125035294,0.0158319384785672
"79","FLT3LG",0.0927286367078779,0.0323810493289255
"80","ARSA",0.092611659029966,0.0211777941604506
"81","MUC16",0.0891211888915431,0.0202654103127437
"82","IL17B",0.0890198187849072,0.0310789984237213
"83","IL32",0.0879056072495882,0.0371840258381954
"84","TREM1",0.0862884601967316,0.0276832859612498
"85","TNFSF11",0.0862161154230889,0.0399141570417373
"86","MSLN",0.0837022016139452,0.034335155003462
"87","IL16",0.0835446285332784,0.0239543479855553
"88","IL18R1",0.0834912845851663,0.0297397263336741
"89","MME",0.0826216565336775,0.025411042705477
"90","KITLG",0.0807418338525716,0.0536648228073592
"91","ICOSLG",0.0783149955220879,0.0259534517279493
"92","CXCL6",0.078283459671383,0.0282620717931444
"93","PGF",0.077923795213588,0.0589118478624906
"94","CSF3R",0.0759550897237643,0.0467021562811178
"95","CCL4",0.0748623130422234,0.0205853179803028
"96","CSF1",0.0738987641739195,0.0208632761222966
"97","IL1RL1",0.0729763717237591,0.0178686381690905
"98","IFNA2",0.0721661723178012,0.0287285736413734
"99","CD83",0.0714473985597182,0.0300380398326227
"100","CSF2",0.0691788518591671,0.0264772322621324
"101","ANXA1",0.0684329146155726,0.0143850446245854
"102","NGF",0.0673204315604819,0.0115386380640403
"103","IFNL1",0.0656271147061544,0.0224763181841476
"104","MICB",0.0640928880996535,0.0242109225765093
"105","FLT1",0.0639312359473465,0.0150474572503503
"106","LIF",0.063920948210606,0.027631562462392
"107","SPP1",0.0633675423712471,0.0180058375308865
"108","IL2RB",0.0633008824812649,0.0248377151389169
"109","CD93",0.0630712925149659,0.0284229980252593
"110","KNG1",0.0629814167636387,0.0145592983589137
"111","ANGPT2",0.0615787272399917,0.0401507068968639
"112","GDI1",0.0607252684446046,0.0475881942112234
"113","CXCL9",0.0600500095200819,0.026552348167172
"114","CD70",0.0598810697816086,0.020832596192845
"115","GZMB",0.0584474526321374,0.0256977387397533
"116","IL17A|IL17F",0.058433291282006,0.0232930164284529
"117","S100B",0.0575907695198378,0.0156869994044505
"118","CD27",0.0564991963453664,0.0400064734952777
"119","IRAK4",0.0554869326894256,0.0110273439439173
"120","REST",0.05521452753208,0.0202170628221336
"121","TEK",0.0547948805575954,0.0170311229437672
"122","MPO",0.0545815007813594,0.0196501733111055
"123","IL5",0.0544642941324159,0.0194736425763309
"124","LILRB2",0.0538603728164052,0.0289234504606821
"125","CTLA4",0.0535585553559793,0.0321195300481353
"126","IL6",0.052873634216663,0.012220050138059
"127","SELE",0.0521977814359333,0.0242457261375564
"128","IL12B",0.0515903335921617,0.0154205421804058
"129","IGFBP7",0.0508551002294602,0.0242847572573203
"130","IL18",0.0502661726035031,0.0123265625183648
"131","IL22",0.0475997160898723,0.0110501293991714
"132","CCL5",0.0469218393796476,0.037308782480251
"133","IL17C",0.0466635067536781,0.0123634090244322
"134","SCG2",0.0464050488909095,0.0103606698497915
"135","CLEC4A",0.0463340775066458,0.0232663683136791
"136","OSM",0.0461461340176905,0.0115680474146106
"137","CD40",0.045502092160897,0.0231689088732126
"138","IL12RB1",0.0453079030818974,0.0185424567297424
"139","TNFRSF1A",0.045254281511172,0.0327931268337962
"140","CCL20",0.0437445628576062,0.0127092486804576
"141","NPY",0.0434668651524022,0.0161586955801897
"142","TNFRSF14",0.0429902980117229,0.0188570688774346
"143","CXCL13",0.0425956331412721,0.0164684573806451
"144","Aβ40",0.0421265923050261,0.0225159555482536
"145","GDF2",0.0394685984925648,0.0244931706815634
"146","TLR3",0.0393906872412201,0.0172769212158975
"147","CSF2RB",0.0392069495714541,0.0181399551804942
"148","FOLR1",0.0390607132888653,0.0171263519713384
"149","pTau-231",0.0385402919428115,0.00501000351560662
"150","CCL23",0.0384026086923112,0.0227260134672458
"151","NPTX1",0.0379583494685627,0.0118506184866237
"152","TNFSF9",0.0379204375637852,0.0213659399427578
"153","TGFB3",0.0377858810013557,0.0243273802362421
"154","CCL24",0.0376715911687314,0.0178883102779752
"155","IFNB1",0.0358806251945572,0.00762737592067897
"156","CCL15",0.0357903217101438,0.0299078476499651
"157","ICAM1",0.0352447861985524,0.0136926142748866
"158","MMP12",0.035230638303702,0.0230128853046963
"159","IFNW1",0.0351361991292413,0.0171752252227123
"160","TIMP2",0.0344729433477807,0.0156297708939163
"161","WNT16",0.034350497414135,0.00905077873730252
"162","IKBKG",0.0330930002097148,0.0144285549900117
"163","IL13RA2",0.0327767838457605,0.0130070984394389
"164","GDF15",0.0326250974698964,0.0171440278726398
"165","IL20",0.0321819007364459,0.0264402372000867
"166","LAMP3",0.031881973743408,0.0165239151611304
"167","PTX3",0.0318378620409028,0.0101797382303918
"168","TIMP3",0.0315998591812534,0.0196535710681688
"169","CXCL10",0.0308222868835078,0.0272382216251756
"170","CXCL8",0.0300847235779252,0.012377512985777
"171","TNFSF12",0.0298657836721499,0.0140343466377113
"172","NTF3",0.029385309396756,0.0191227113610499
"173","SLAMF1",0.029113354423837,0.00787216897748691
"174","FASLG",0.0289820494183797,0.00757191042138271
"175","TNFRSF8",0.0289656339127236,0.0138517451399704
"176","PRDX6",0.0288256741369016,0.0201152173257068
"177","TNFSF18",0.0287627836693211,0.0160752642503011
"178","IFNA1; IFNA13",0.0285559107477247,0.0125352472778532
"179","TNFRSF9",0.028529550650754,0.0114720651296139
"180","NRGN",0.0281064823043787,0.0189698995501663
"181","CNTF",0.0269752919411035,0.017241094986496
"182","NAMPT",0.0269084132985474,0.0101584770069859
"183","TIMP1",0.0268452578588164,0.016481975503847
"184","pTau-181",0.0263223300802508,0.0132356353059375
"185","CCL25",0.0260617460303318,0.0121973045118513
"186","APOE4",0.0259205678953295,0.0144400019117561
"187","PDCD1",0.0258926616831663,0.0102811419134418
"188","CALCA",0.0257172951600239,0.00444774326010538
"189","TNFRSF17",0.0249611432186113,0.0172036724802814
"190","CD200",0.0248516356959951,0.0178914538806343
"191","TNFRSF18",0.0243361016792095,0.00771195277778356
"192","MMP3",0.0241698742636427,0.0170087202025486
"193","POSTN",0.0240841076865638,0.0106799613815766
"194","CXADR",0.0240228813930032,0.00187322323416302
"195","TNFSF14",0.0239174667614136,0.012576657772545
"196","HTT",0.0232193284309607,0.0128200543271675
"197","SELP",0.0231831805376244,0.0138122938188261
"198","IL3RA",0.0231112139186957,0.0114413971023351
"199","WNT7A",0.0228557252208486,0.0110845475857457
"200","TNFRSF13C",0.0228451399269233,0.0126300633649436
"201","IGF1R",0.0220802615069682,0.0049667230204182
"202","IL6R",0.0217964137107778,0.0187845791651042
"203","IL13",0.0217565565310309,0.0208023333301914
"204","SAA1",0.0211424758483964,0.0169475980347941
"205","FURIN",0.0209936810082691,0.0136649670896255
"206","IL10",0.0204286896812281,0.0099858894846796
"207","SOD1",0.019852807499851,0.0145935013084791
"208","LGALS9",0.0197543836845661,0.0134742644921074
"209","PGK1",0.0194910119397182,0.0188539369566293
"210","MMP1",0.019283082650026,0.010071734596921
"211","FCN2",0.019015315875798,0.0105391377535301
"212","EPO",0.0186054946192472,0.00368898623521531
