"","a","error","rmse","cor","auc","alpha","lambda"
"1",1,3.44804052456768,16.7174569510246,0.787893007735612,0.513406593406593,0,0.001
"2",2,3.4492871976737,16.6193117766107,0.78755500304516,0.511648351648351,0.1,0.001
"3",3,3.44886366951099,16.5899998775401,0.788143634532021,0.512087912087912,0.2,0.001
"4",4,3.44843285168144,16.5594857367691,0.788797612261207,0.512087912087912,0.3,0.001
"5",5,3.44823005758461,16.5286993892239,0.789400475454865,0.512087912087912,0.4,0.001
"6",6,3.44799949927233,16.4984567620771,0.789997367588791,0.51032967032967,0.5,0.001
"7",7,3.44787231722968,16.4679067463378,0.790585410505973,0.50989010989011,0.6,0.001
"8",8,3.44791013653388,16.4360572992846,0.791172117801123,0.509010989010989,0.7,0.001
"9",9,3.44817771370437,16.4018693287173,0.791772978837991,0.508571428571428,0.8,0.001
"10",10,3.44737054852164,16.3822872372384,0.792279080147222,0.509010989010989,0.9,0.001
"11",11,3.44719683002965,16.3550204254642,0.792837503335652,0.509010989010989,1,0.001
"12",12,3.44798916929971,16.7126468170185,0.787986639584234,0.512967032967033,0,0.00112332403297803
"13",13,3.44920515810788,16.6106998593875,0.787722248652626,0.511648351648351,0.1,0.00112332403297803
"14",14,3.44876035334598,16.5776397438859,0.788384304472385,0.512087912087912,0.2,0.00112332403297803
"15",15,3.44838751984833,16.5425795594367,0.789118359677517,0.511208791208791,0.3,0.00112332403297803
"16",16,3.44811317782516,16.5088028958785,0.789787717104746,0.50989010989011,0.4,0.00112332403297803
"17",17,3.44789004500449,16.4749608417956,0.79045094203965,0.51032967032967,0.5,0.00112332403297803
"18",18,3.44784172360368,16.4400920725013,0.791107280221896,0.509010989010989,0.6,0.00112332403297803
"19",19,3.44809953252904,16.4023011358879,0.791776437745915,0.508571428571428,0.7,0.00112332403297803
"20",20,3.44735708420302,16.3781729358444,0.792358959850681,0.509010989010989,0.8,0.00112332403297803
"21",21,3.44719147221839,16.3472533404513,0.79298761072551,0.509010989010989,0.9,0.00112332403297803
"22",22,3.44708906935441,16.314152659905,0.793685493991775,0.509010989010989,1,0.00112332403297803
"23",23,3.44801361172437,16.706149297221,0.78809900372478,0.512967032967033,0,0.00126185688306602
"24",24,3.44911570735495,16.6010935780508,0.787909039805662,0.511648351648351,0.1,0.00126185688306602
"25",25,3.44864883546112,16.5637657917991,0.788655352024427,0.511648351648351,0.2,0.00126185688306602
"26",26,3.44826830735637,16.5245711208074,0.789469414856222,0.511208791208791,0.3,0.00126185688306602
"27",27,3.44799957150944,16.4863701636509,0.79022108854839,0.50989010989011,0.4,0.00126185688306602
"28",28,3.44778832190417,16.448782794016,0.790953031845071,0.50989010989011,0.5,0.00126185688306602
"29",29,3.44802629489783,16.4067784010492,0.791702815891594,0.508571428571428,0.6,0.00126185688306602
"30",30,3.44740530802304,16.3768626815474,0.792373876991385,0.509010989010989,0.7,0.00126185688306602
"31",31,3.4471799328423,16.3425884138665,0.793078767122091,0.509450549450549,0.8,0.00126185688306602
"32",32,3.44709424242597,16.3052241155882,0.793857678723165,0.509010989010989,0.9,0.00126185688306602
"33",33,3.44722935026297,16.2676759466468,0.794574420651784,0.506373626373626,1,0.00126185688306602
"34",34,3.44795066843866,16.7001058333203,0.788216614902636,0.512967032967033,0,0.0014174741629268
"35",35,3.44901850748741,16.5902885371009,0.788118797758512,0.511648351648351,0.1,0.0014174741629268
"36",36,3.448484046384,16.5470614323032,0.789018915908074,0.511208791208791,0.2,0.0014174741629268
"37",37,3.44814686163645,16.5044339788295,0.789861651570897,0.511208791208791,0.3,0.0014174741629268
"38",38,3.44788951814233,16.4615863849062,0.790699326499589,0.50989010989011,0.4,0.0014174741629268
"39",39,3.44796565251984,16.416378755675,0.791531264625499,0.509010989010989,0.5,0.0014174741629268
"40",40,3.44745232474218,16.3800597981012,0.79230362828072,0.508571428571428,0.6,0.0014174741629268
"41",41,3.44722309334129,16.3411953460739,0.793095247674921,0.509450549450549,0.7,0.0014174741629268
"42",42,3.44714607132053,16.2991522795565,0.793963347485137,0.509010989010989,0.8,0.0014174741629268
"43",43,3.44725200620949,16.2579856711486,0.794760007587084,0.506373626373626,0.9,0.0014174741629268
"44",44,3.44748734583018,16.2173522482913,0.795525991629438,0.506813186813187,1,0.0014174741629268
"45",45,3.44796281983797,16.6922315974732,0.788355783912326,0.512967032967033,0,0.00159228279334109
"46",46,3.44891368244812,16.5781904390578,0.788354113958787,0.512087912087912,0.1,0.00159228279334109
"47",47,3.44836112356594,16.5296772836296,0.789360441793315,0.511208791208791,0.2,0.00159228279334109
"48",48,3.44802861516564,16.4815216469034,0.790305220723157,0.50989010989011,0.3,0.00159228279334109
"49",49,3.44778972124209,16.4339710403368,0.791228749418811,0.509010989010989,0.4,0.00159228279334109
"50",50,3.44757274564101,16.3882711900106,0.792126386463141,0.509010989010989,0.5,0.00159228279334109
"51",51,3.44732064413591,16.3441427590459,0.793016850353715,0.509450549450549,0.6,0.00159228279334109
"52",52,3.4471252643412,16.2985212694247,0.793977321089214,0.509010989010989,0.7,0.00159228279334109
"53",53,3.44730951243807,16.2516172126442,0.794870481076935,0.506813186813187,0.8,0.00159228279334109
"54",54,3.44752968424289,16.2069966388843,0.795723239188371,0.507252747252747,0.9,0.00159228279334109
"55",55,3.44771242663739,16.1665633082324,0.796518841819455,0.508571428571428,1,0.00159228279334109
"56",56,3.44788635493152,16.6846457158959,0.788503370945898,0.512967032967033,0,0.00178864952905744
"57",57,3.44887433539619,16.5638051420767,0.788622993796553,0.512087912087912,0.1,0.00178864952905744
"58",58,3.44823632220383,16.5102970350482,0.789737103810922,0.511208791208791,0.2,0.00178864952905744
"59",59,3.44791573353771,16.4562686048036,0.790793619482069,0.509450549450549,0.3,0.00178864952905744
"60",60,3.4479713997878,16.3999958485518,0.79183789473463,0.509010989010989,0.4,0.00178864952905744
"61",61,3.44741316943678,16.3534867014607,0.792816286134746,0.509450549450549,0.5,0.00178864952905744
"62",62,3.44714393088246,16.3029592915624,0.793882333430682,0.509450549450549,0.6,0.00178864952905744
"63",63,3.44728469190048,16.2510501152071,0.794883353101481,0.506813186813187,0.7,0.00178864952905744
"64",64,3.44754136008396,16.2008829849626,0.795840609801335,0.507692307692308,0.8,0.00178864952905744
"65",65,3.44783281957237,16.1544322032131,0.7967371132863,0.508571428571428,0.9,0.00178864952905744
"66",66,3.44783428717824,16.114599212962,0.797647711843558,0.505494505494505,1,0.00178864952905744
"67",67,3.44788425825848,16.6750528247109,0.788675970043434,0.512967032967033,0,0.00200923300256505
"68",68,3.44882680972025,16.547787770696,0.788924186301251,0.511208791208791,0.1,0.00200923300256505
"69",69,3.44818028371989,16.4877644785813,0.790163631277222,0.510769230769231,0.2,0.00200923300256505
"70",70,3.44788031405138,16.4273291785476,0.791339579610471,0.509450549450549,0.3,0.00200923300256505
"71",71,3.44758615053139,16.370067603795,0.792467603256194,0.509010989010989,0.4,0.00200923300256505
"72",72,3.44714885215948,16.3146769210575,0.793648297467288,0.509010989010989,0.5,0.00200923300256505
"73",73,3.44728292981768,16.2558314330563,0.794783768022355,0.507252747252747,0.6,0.00200923300256505
"74",74,3.44756425499703,16.1993786251395,0.795859737028732,0.507692307692308,0.7,0.00200923300256505
"75",75,3.44785606316528,16.1476345404251,0.79686793443869,0.508571428571428,0.8,0.00200923300256505
"76",76,3.44793521050352,16.1022237457752,0.797883330228346,0.505054945054945,0.9,0.00200923300256505
"77",77,3.44865669104017,16.0506770820407,0.798864050909168,0.504175824175824,1,0.00200923300256505
"78",78,3.44779246312862,16.6655420942622,0.788860945496621,0.513406593406593,0,0.00225701971963392
"79",79,3.44869966143099,16.5308422891558,0.789255166076566,0.511208791208791,0.1,0.00225701971963392
"80",80,3.44805627779758,16.4632246403297,0.790640132155128,0.51032967032967,0.2,0.00225701971963392
"81",81,3.44792634470288,16.3944208650404,0.791948355585974,0.509010989010989,0.3,0.00225701971963392
"82",82,3.44744212444236,16.3332124910737,0.793198310460133,0.509450549450549,0.4,0.00225701971963392
"83",83,3.4472514189596,16.2685770926873,0.794531245613153,0.509010989010989,0.5,0.00225701971963392
"84",84,3.44753372543977,16.2047515808098,0.79575020114238,0.507252747252747,0.6,0.00225701971963392
"85",85,3.44787692758358,16.1457777169331,0.796890889471654,0.508571428571428,0.7,0.00225701971963392
"86",86,3.44802907272514,16.0935783920947,0.798031850865985,0.505054945054945,0.8,0.00225701971963392
"87",87,3.4488006960255,16.0365411544805,0.799138191039918,0.503736263736264,0.9,0.00225701971963392
"88",88,3.44877663379092,15.997337947779,0.800223375099776,0.503736263736264,1,0.00225701971963392
"89",89,3.44777443360057,16.6538084527869,0.789075144116914,0.513406593406593,0,0.00253536449397011
"90",90,3.44844727079458,16.5115403788052,0.789679536652155,0.511648351648352,0.1,0.00253536449397011
"91",91,3.44800978805061,16.4352111350688,0.791170900045626,0.50989010989011,0.2,0.00253536449397011
"92",92,3.44819974315652,16.3553799911771,0.79264440300915,0.508571428571428,0.3,0.00253536449397011
"93",93,3.44725766721138,16.2908721420809,0.794084876416312,0.508571428571428,0.4,0.00253536449397011
"94",94,3.447455418273,16.2191033193735,0.795471702102753,0.506373626373626,0.5,0.00253536449397011
"95",95,3.44787836766467,16.1503227724201,0.796785160892716,0.509010989010989,0.6,0.00253536449397011
"96",96,3.44837064667155,16.0856113268259,0.798081362190923,0.505054945054945,0.7,0.00253536449397011
"97",97,3.44886530860045,16.0278819091423,0.799304712068728,0.503736263736264,0.8,0.00253536449397011
"98",98,3.44901158550079,15.982278668596,0.800498850978751,0.503296703296703,0.9,0.00253536449397011
"99",99,3.45018478030474,15.9259796617807,0.801594693416595,0.501978021978022,1,0.00253536449397011
"100",100,3.4477481483022,16.6408181518994,0.789313766266306,0.513406593406593,0,0.0028480358684358
"101",101,3.4483842684811,16.4895207906693,0.790096569254999,0.511648351648352,0.1,0.0028480358684358
"102",102,3.44790623580138,16.4049103952531,0.791754258383508,0.509450549450549,0.2,0.0028480358684358
"103",103,3.44758021731294,16.3238036065802,0.793349704842208,0.509010989010989,0.3,0.0028480358684358
"104",104,3.44739234880408,16.2432801393841,0.794995262105696,0.508131868131868,0.4,0.0028480358684358
"105",105,3.44779304223502,16.1646953939246,0.796496361708951,0.507692307692308,0.5,0.0028480358684358
"106",106,3.44828635101966,16.0912494957866,0.797963207268287,0.505934065934066,0.6,0.0028480358684358
"107",107,3.44887084194755,16.0251689591308,0.799336616771884,0.503296703296703,0.7,0.0028480358684358
"108",108,3.44909536094266,15.9732595441516,0.800670584737566,0.503736263736264,0.8,0.0028480358684358
"109",109,3.45048341590968,15.9098794528146,0.801887263508921,0.501978021978022,0.9,0.0028480358684358
"110",110,3.45209663230142,15.8486365232876,0.803030209003079,0.501978021978022,1,0.0028480358684358
"111",111,3.44771350599292,16.6264292450532,0.789579550762569,0.513406593406593,0,0.00319926713779738
"112",112,3.44824874380357,16.4658677709681,0.790556921595035,0.511208791208791,0.1,0.00319926713779738
"113",113,3.44788931126388,16.3704897733938,0.792403734681517,0.509010989010989,0.2,0.00319926713779738
"114",114,3.44732529797911,16.2815270502575,0.79424636748175,0.509010989010989,0.3,0.00319926713779738
"115",115,3.44763787710735,16.19155162725,0.795974440337945,0.507252747252747,0.4,0.00319926713779738
"116",116,3.44818574815708,16.1076310750874,0.797593968260473,0.507252747252747,0.5,0.00319926713779738
"117",117,3.44873907016576,16.0310512924017,0.799200976322182,0.504175824175824,0.6,0.00319926713779738
"118",118,3.44909311466921,15.9703279885477,0.800703093443054,0.503736263736264,0.7,0.00319926713779738
"119",119,3.45064722727082,15.899606779427,0.802063648777672,0.501978021978022,0.8,0.00319926713779738
"120",120,3.45247268278835,15.8312050942564,0.803339440879954,0.502857142857143,0.9,0.00319926713779738
"121",121,3.45457526548944,15.7557605975762,0.804741219739483,0.502417582417582,1,0.00319926713779738
