"","name","coefficient"
"43","CX3CL1",-4.1898020817306
"5","AGRP",-3.4896125675015
"11","BMP7",-3.43773324695383
"105","KLRK1",-2.76415660679802
"97","IL4R",-2.65633185171685
"126","NPTXR",-2.54118566907468
"84","IL18R1",-2.39796286782621
"154","TNFRSF8",-2.29195251345593
"20","CCL21",-2.26991949501945
"147","THPO",-2.19513641237371
"12","BST2",-1.74367829619321
"61","GOT1",-1.72821539942052
"100","IL7R",-1.71071027075086
"155","TNFSF10",-1.61580667239407
"156","TNFSF11",-1.576204470413
"4","AGRN",-1.50378121721887
"25","CCL26",-1.12196704245824
"53","FGF23",-1.11219589563615
"146","THBS2",-1.08470049145402
"80","IL17B",-1.06341665990611
"144","SQSTM1",-1.06022979233148
"164","VSNL1",-1.05891436843512
"110","MAPT",-1.03488375076165
"139","SDC1",-1.01728991130596
"39","CSF2RB",-1.01372296039029
"76","IL15",-0.959395569668447
"21","CCL22",-0.948989074995829
"118","MUC16",-0.851923892753559
"66","ICOSLG",-0.850502053648516
"42","CST7",-0.832558643227502
"73","IL10RB",-0.809908776384043
"28","CD3E",-0.794471305614041
"88","IL1RN",-0.738214270282765
"49","FCN2",-0.713647083700763
"104","KLK6",-0.706836546751641
"136","REST",-0.699746388231375
"87","IL1RL1",-0.674410727477998
"143","SPP1",-0.661126642688879
"137","S100A12",-0.560123752807961
"7","APOE",-0.534102417725533
"145","TAFA5",-0.504183663106915
"167","YWHAZ",-0.497355905813123
"68","IFNG",-0.484988012536595
"150","TNFRSF13C",-0.478535376308817
"134","PDLIM5",-0.463220756515657
"24","CCL25",-0.453105315410644
"79","IL17A",-0.424389786418449
"138","S100A9",-0.416910472180226
"34","CLEC4A",-0.412132182090575
"45","CXCL13",-0.370033451604796
"123","NGF",-0.367830301958401
"3","AGER",-0.361793481335725
"140","SELE",-0.308772096774817
"148","TLR3",-0.29691852833463
"31","CD83",-0.246034586627688
"111","MDH1",-0.226398891947537
"90","IL22",-0.221314490276232
"37","CRH",-0.220272750275067
"46","CXCL16",-0.189700259803085
"95","IL33",-0.179930607212956
"38","CSF1",-0.145770785441831
