"","max_depth","num_leaves","num_iterations","early_stopping_rounds","learning_rate","mean.rmse","mean.rank","list.rank","rmse.rank","ranks.rank","mean.final.rank"
"1",5,20,200,20,0.5,11.3457033133046,5751.5,"5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5",113,248,180.5
"2",5,20,200,25,0.5,11.3457033133046,5751.5,"5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5",113,248,180.5
"3",5,20,200,30,0.5,11.3457033133046,5751.5,"5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5",113,248,180.5
"4",5,20,200,35,0.5,11.3457033133046,5751.5,"5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5",113,248,180.5
"5",5,20,200,40,0.5,11.3457033133046,5751.5,"5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5",113,248,180.5
"6",5,20,250,20,0.5,11.3457033133046,5751.5,"5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5",113,248,180.5
"7",5,20,250,25,0.5,11.3457033133046,5751.5,"5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5",113,248,180.5
"8",5,20,250,30,0.5,11.3457033133046,5751.5,"5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5",113,248,180.5
"9",5,20,250,35,0.5,11.3457033133046,5751.5,"5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5",113,248,180.5
"10",5,20,250,40,0.5,11.3457033133046,5751.5,"5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 5400.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 4725.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 9180.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5",113,248,180.5
