"","j","error","rmse","cor","auc","max_depth","num_leaves","num_iterations","early_stopping_rounds","learning_rate"
"1",1,0.350210376306172,12.6333248363381,0.82468337127035,0.604875998318621,4,20,200,20,0.45
"2",2,0.350210376306172,12.6333248363381,0.82468337127035,0.604875998318621,4,20,200,20,0.45
"3",3,0.350210376306172,12.6333248363381,0.82468337127035,0.604875998318621,4,20,200,20,0.45
"4",4,0.551255893886778,12.1356827679036,0.840024696092051,0.610760823875578,5,20,200,20,0.45
"5",5,0.551255893886778,12.1356827679036,0.840024696092051,0.610760823875578,5,20,200,20,0.45
"6",6,0.551255893886778,12.1356827679036,0.840024696092051,0.610760823875578,5,20,200,20,0.45
"7",7,0.551255893886778,12.1356827679036,0.840024696092051,0.610760823875578,5,20,200,20,0.45
"8",8,0.551255893886778,12.1356827679036,0.840024696092051,0.610760823875578,5,20,200,20,0.45
"9",9,0.551255893886778,12.1356827679036,0.840024696092051,0.610760823875578,5,20,200,20,0.45
"10",10,0.350210376306172,12.6333248363381,0.82468337127035,0.604875998318621,4,21,200,20,0.45
"11",11,0.350210376306172,12.6333248363381,0.82468337127035,0.604875998318621,4,21,200,20,0.45
"12",12,0.350210376306172,12.6333248363381,0.82468337127035,0.604875998318621,4,21,200,20,0.45
"13",13,0.551255893886778,12.1356827679036,0.840024696092051,0.610760823875578,5,21,200,20,0.45
"14",14,0.551255893886778,12.1356827679036,0.840024696092051,0.610760823875578,5,21,200,20,0.45
"15",15,0.551255893886778,12.1356827679036,0.840024696092051,0.610760823875578,5,21,200,20,0.45
"16",16,0.551255893886778,12.1356827679036,0.840024696092051,0.610760823875578,5,21,200,20,0.45
"17",17,0.551255893886778,12.1356827679036,0.840024696092051,0.610760823875578,5,21,200,20,0.45
"18",18,0.551255893886778,12.1356827679036,0.840024696092051,0.610760823875578,5,21,200,20,0.45
"19",19,0.350210376306172,12.6333248363381,0.82468337127035,0.604875998318621,4,22,200,20,0.45
"20",20,0.350210376306172,12.6333248363381,0.82468337127035,0.604875998318621,4,22,200,20,0.45
