"","Feature","Gain","Cover","Frequency"
"1","GFAP",0.283990037734446,0.0442448372474723,0.0271929824561404
"2","NEFL",0.133008104901741,0.0205035486911196,0.0175438596491228
"3","FABP3",0.102591483789533,0.0203304418072359,0.012280701754386
"4","CCL11",0.0954094707654366,0.034672667705308,0.0245614035087719
"5","TREM2",0.0291077871329651,0.0184198547184449,0.0149122807017544
"6","pTau-181",0.0267216673184159,0.00664217524828015,0.00789473684210526
"7","CHIT1",0.026041776609735,0.0188942958076077,0.0140350877192982
"8","CHI3L1",0.0151115915698139,0.0187596571201426,0.0166666666666667
"9","IL12p70",0.0131787700633712,0.0279792015284697,0.0149122807017544
"10","AGRP",0.0117615924443224,0.0108736768543274,0.0131578947368421
"11","CD40",0.0116207142267581,0.0103992357651645,0.00964912280701754
"12","CRH",0.0111652947645375,0.00645624563225687,0.0087719298245614
"13","TNFSF15",0.0109203361978678,0.0121815955325601,0.0087719298245614
"14","HBA1",0.0103811960617444,0.0226513563244921,0.0149122807017544
"15","VCAM1",0.0101158792403047,0.0063280183108615,0.00614035087719298
"16","IL5RA",0.00863450532723913,0.00878998288165259,0.00964912280701754
"17","GDNF",0.00793117583188734,0.0115596930237926,0.012280701754386
"18","CXCL14",0.00726381983620793,0.00105146403544203,0.00350877192982456
"19","WNT16",0.00720304167759672,0.00181441659774448,0.0043859649122807
"20","CST7",0.00622337597149948,0.00405198335609368,0.00701754385964912
"21","CCL3",0.00540380942336812,0.00252607823148878,0.00350877192982456
"22","VEGFD",0.00535705006830345,0.0148294897193745,0.0131578947368421
"23","NPTXR",0.00510352105292522,0.00916825347976893,0.00964912280701754
"24","HTT",0.00476275997348998,0.00254531232969809,0.0043859649122807
"25","CSF3",0.00432068678707298,0.0195097869503055,0.0114035087719298
"26","HAVCR1",0.00358341436740763,0.0140216575945837,0.0087719298245614
"27","Aβ40",0.00355332563205016,0.000980939008674578,0.00175438596491228
"28","IGFBP7",0.00350573279893905,0.00427638116853558,0.00701754385964912
"29","CEACAM5",0.00344049944273264,0.0083411872567688,0.00701754385964912
"30","SDC1",0.00341619353356593,0.00302616478493073,0.00526315789473684
"31","IL23",0.00341472042068948,0.00367371275797734,0.0043859649122807
"32","NEFH",0.00326563030643688,0.00103222993723273,0.00263157894736842
"33","FGF23",0.00317669401793465,0.0211767421284453,0.0149122807017544
"34","S100A9",0.00313121228135905,0.0104441153276529,0.0114035087719298
"35","NPTX2",0.0030738980965576,0.0139318984696069,0.00789473684210526
"36","CXCL16",0.00287129970811894,0.0137972597821418,0.00789473684210526
"37","SMOC1",0.00283298018088437,0.00204522577625615,0.0043859649122807
"38","PTX3",0.00269096990888844,0.005981804543094,0.00526315789473684
"39","IL17B",0.00266970151690077,0.00477005635590775,0.00614035087719298
"40","FCN2",0.00256118296997898,0.00228885768690735,0.0043859649122807
"41","THPO",0.00247052347674765,0.0236258839670969,0.0114035087719298
"42","TNFSF12",0.00236311742058167,0.00229526905297712,0.00263157894736842
"43","CTLA4",0.00231419741421525,0.00614850006090798,0.00526315789473684
"44","PGF",0.0022451455721474,0.0099889083366993,0.00526315789473684
"45","IL9",0.00224141130091444,0.00745641873914075,0.00701754385964912
"46","IL2RB",0.00210355523023849,0.00428920390067512,0.00350877192982456
"47","VSNL1",0.00201276757488431,0.00882203971200144,0.00789473684210526
"48","CD276",0.00201264053945244,0.00245555320472133,0.0043859649122807
"49","TNFRSF13C",0.00192737970678612,0.00262224872253531,0.00175438596491228
"50","BASP1",0.00192266880638443,0.00156437332102351,0.00263157894736842
"51","SFRP1",0.00185820289938676,0.00283382380283767,0.00526315789473684
"52","FASLG",0.00183332182960689,0.0043340834631635,0.00614035087719298
"53","PDCD1",0.00179938004343941,0.00200675757983754,0.00350877192982456
"54","CCL13",0.00170930086970774,0.000859123053348977,0.00175438596491228
"55","IL4R",0.00165655404634868,0.00762311425695473,0.00614035087719298
"56","KNG1",0.00165381714128987,0.00530219973969854,0.0043859649122807
"57","MMP3",0.00161020467916172,0.0115404589255833,0.0087719298245614
"58","SELE",0.00152837374915328,0.00505215646297757,0.00526315789473684
