"","Variable","Importance","StDev"
"1","NEFL",0.042987801171428,0.00410991492114252
"2","CCL11",0.0411297250528132,0.00414847711582692
"3","NEFH",0.0377612846802725,0.00324735378119073
"4","TREM2",0.0349138478507451,0.00317206509091043
"5","CHI3L1",0.031005180785378,0.00327169606246733
"6","FABP3",0.0303294438527607,0.00346047136521107
"7","GFAP",0.0296073717650997,0.003663369995769
"8","VEGFD",0.0287572908442579,0.00305106361214929
"9","TNFSF15",0.0285363322131837,0.0028765665682851
"10","pTau-181",0.0278997682397701,0.00358019347506706
"11","IGFBP7",0.0240740416955045,0.00305921802953937
"12","pTau-231",0.0236794345936809,0.00299397480093174
"13","TREM1",0.0230573127721446,0.00276504975043652
"14","TSLP",0.0212091789977972,0.00268478472469375
"15","HLA-DRA",0.0210868323517887,0.00296634273029051
"16","HAVCR1",0.0204961998789746,0.00254315623808187
"17","TIMP1",0.0200717730477761,0.00304403201227478
"18","LGALS9",0.0185725069845608,0.00313450967705567
"19","KITLG",0.0182293278087577,0.0029453533189999
"20","pTau-217",0.0177397114447054,0.00274288283085494
"21","FGF21",0.0176845518986558,0.00283614849746721
"22","LAMP3",0.017507262247928,0.00250124622657158
"23","VEGFC",0.017236973901081,0.00264883836128385
"24","MMP12",0.0170016396802779,0.00265357720711897
"25","CCL13",0.0169031445481355,0.00256720317503066
"26","IL15RA",0.0168451798674064,0.00237944800899376
"27","MAPT",0.0162122029153662,0.00311379333089256
"28","Aβ40",0.0160388642330201,0.00261289235281995
"29","CD40",0.0158404878493425,0.00213811941654532
"30","CCL7",0.0157940967922064,0.00302837957965405
"31","TNFSF18",0.0156424354489247,0.00257907324117038
"32","OSMR",0.0154768154317964,0.00273392916319634
"33","CEACAM5",0.0154016560618349,0.00257834404401962
"34","SFTPD",0.0151405727518993,0.00219677821811681
"35","CCL1",0.0148259090546465,0.00266854615369207
"36","FOLR1",0.0147761149972023,0.00244310817704558
"37","TNFSF9",0.0145763428916972,0.0019373705620359
"38","VEGFA",0.0144170833505017,0.00261845133896607
"39","CXCL10",0.0143615536751804,0.00201969283639853
"40","CCL14",0.014192149577911,0.00250890756067041
"41","TNFSF11",0.0140958758410692,0.00191253943058885
"42","CD27",0.0134192563815031,0.00210311796980571
"43","IL9",0.0130944760843808,0.00226870203912981
"44","TNFRSF1A",0.013017293583377,0.00237705434009287
"45","IL5RA",0.01297173012055,0.00160282536117402
"46","CCL2",0.0127424723352156,0.00212371262978906
"47","FLT3LG",0.0127109965611297,0.00193622179368074
"48","Aβ38",0.012591219658071,0.00219572005728342
"49","IL5",0.0124418880763991,0.00219028427148036
"50","IGF1R",0.0121468618094016,0.001821212332835
"51","MMP3",0.0119827599334987,0.00213918093476802
"52","GDI1",0.0115835721907153,0.00192793997791571
"53","CXCL9",0.0114936566573773,0.00232343506124217
"54","VCAM1",0.0114145240962161,0.00207340840048241
"55","CST3",0.0114027577532318,0.00208343824437512
"56","TIMP2",0.0113960404308533,0.00272381853227041
"57","TNFRSF11A",0.0113631015597741,0.00191881174111299
"58","TNFRSF13B",0.0113493103416861,0.00155967032166146
"59","CD46",0.0111937219147459,0.00197576907771196
"60","TNFRSF14",0.0111708361337337,0.00240763159568033
"61","CALB2",0.0105608366946114,0.00223357453185053
"62","TNFSF4",0.0104281978825868,0.00215036814186186
"63","IL33",0.0103601226666244,0.00221311411691766
"64","CD80",0.0103270047027395,0.00188660539591624
"65","CCL17",0.0101574369656616,0.00188644871389475
"66","CCL3",0.0101047367216412,0.00196270188032415
"67","TNFRSF17",0.0100030614640949,0.00223322602053973
"68","MMP1",0.00989674157571621,0.00195786486689212
"69","MSLN",0.00973708940101069,0.00201051477406987
"70","TNFRSF9",0.00962346854539874,0.00188214473081291
"71","AGRN",0.00959018438412805,0.00215315336604374
"72","CRH",0.00958788056825256,0.00215305138459386
"73","SQSTM1",0.00954511720806686,0.00160346776412269
"74","SMOC1",0.00919908580740454,0.00218188596807814
"75","TNFRSF18",0.00916111110634418,0.0021247849507482
"76","TNFRSF11B",0.00875724067193076,0.00176965676540709
"77","PSEN1",0.00872626013636911,0.00207686066149967
"78","NPTX2",0.008140112933892,0.00199682818238183
"79","IL2",0.00808732662315386,0.00212265385323372
"80","IL17C",0.00779234409857366,0.00211347747411578
"81","SPP1",0.00776167844739447,0.00159077201123333
"82","TNFRSF21",0.00773881778814513,0.00185933470178141
"83","LAG3",0.00772045502599639,0.001767133417596
"84","POSTN",0.00759727762052847,0.00166205950967426
"85","GDNF",0.00740867076812556,0.00168513105336068
"86","CNTN2",0.00737089163769852,0.00141255392139615
"87","CXCL16",0.00728732361107554,0.00161130136543641
"88","SLAMF1",0.00728015626613569,0.00180443957853641
"89","CCL8",0.00712861355839443,0.00161704047865445
"90","CXCL8",0.00705225449846857,0.00170506181923865
"91","CCL15",0.00693818310802605,0.00158795456209283
"92","TNFRSF4",0.00682021684053581,0.00160163932171457
"93","TAFA5",0.00678651542216898,0.0014730630687838
"94","EPO",0.0067758206016213,0.00149613746242292
"95","CD3E",0.00666300278503414,0.00176568178806194
"96","IL19",0.00663668724451384,0.00145081844400595
"97","IL16",0.00657731633666906,0.00164621350928322
"98","TNFRSF1B",0.00654668743718709,0.00151388202919165
"99","IL18",0.0064420887830989,0.00172351796938199
"100","IL36A",0.0063101567888048,0.00176387237575742
"101","SAA1",0.00616647483685604,0.00159059704344088
"102","CCL27",0.00615952384773145,0.00155237226619456
"103","CD83",0.00602078725750246,0.00135522118002815
"104","TGFB1",0.00586885544435475,0.00160495193626413
"105","SIRPA",0.00573982987695047,0.00135517641968078
"106","CALCA",0.0057264252151252,0.00141435531258468
"107","IL10RB",0.00560010669472788,0.00133504878564648
"108","IL12RB1",0.00558977096501131,0.0013152219962801
"109","CD276",0.00555944314975854,0.00171276223248249
"110","IL1R1",0.00541146202541903,0.00129901313354
"111","FASLG",0.00539330428652413,0.00154238593819507
"112","S100B",0.00531377161943119,0.00134460109282955
"113","IL6",0.00530893416209217,0.00129992271338376
"114","SLIT2",0.00520095362246089,0.0014543056095636
"115","CD93",0.00518464524215091,0.00133459304286225
"116","TNF",0.00518338878875653,0.00163929209557514
"117","IL15",0.00510603098639862,0.00135572163891364
"118","IL6ST",0.00506189807879729,0.00138541512745265
"119","SCG2",0.00471196181022691,0.00150325323726035
"120","LILRB2",0.00467651251502488,0.00120974922788451
"121","CX3CL1",0.00453169829811422,0.00127487083473399
"122","PGF",0.00447450895848455,0.00137528105887206
"123","CSF2",0.004467919341214,0.00141805754497695
"124","IL7R",0.00446711969813883,0.00143415290025318
"125","FURIN",0.00446518001094802,0.00131856394606425
"126","LCN2",0.00444072369743857,0.00132870893061484
"127","AREG",0.00441908677452353,0.00137296900206962
"128","IL13RA2",0.00440344780399542,0.00116627870272197
"129","CXCL11",0.00439802357500525,0.00139770834631237
"130","IL2RA",0.00433171769365622,0.00150971757955062
"131","NCR1",0.00428288683673472,0.0015121541658173
"132","IL18BP",0.00427546707306767,0.00119751400967122
"133","CCL23",0.00427064738824711,0.00170246700918338
"134","KNG1",0.00426598921445986,0.00115928530934617
"135","GDF15",0.00421668682617963,0.00126971351777014
"136","UCHL1",0.00419279456422579,0.00126956043274585
"137","HBA1",0.00413378513886101,0.00137852383469819
"138","IL23",0.00411054044520071,0.00154203845213407
"139","CTLA4",0.00393613809131274,0.00144932769421531
"140","Aβ42",0.00387693913257344,0.00132763095043543
"141","CHIT1",0.00376348008883291,0.00117949236537121
"142","GZMB",0.00364504430215483,0.00140002142419618
"143","CCL4",0.00361855168740284,0.00107937361801652
"144","FGF19",0.0035660002356385,0.00147282629834755
"145","IL13",0.00354555633211682,0.0012755068037037
"146","IL17A|IL17F",0.00348918837086615,0.0013409080041765
"147","CXCL14",0.00344958240944628,0.00138043495383018
"148","ANGPT1",0.0034002569567803,0.00110687940015005
"149","C1QA",0.00338756981834202,0.00106828091350322
"150","SFRP1",0.00338448669787411,0.00136896978420145
"151","IL1R2",0.00337708922317674,0.0013074143905678
"152","KLK6",0.0031262938950826,0.000960094056449013
"153","IL12p70",0.00312502211737502,0.00129488233893999
"154","MIF",0.00310650684998116,0.00101432603764772
"155","FLT1",0.00309953035112365,0.00108571931990189
"156","FCN2",0.00306433113138958,0.000989850307885413
"157","REST",0.00304679872914377,0.0011630122928716
"158","FGF2",0.00304188710444727,0.00124854652378244
"159","CD274",0.00299543440376127,0.00109694771346316
"160","ANGPT2",0.00288497108913639,0.00119882385906324
"161","NPTX1",0.00286975205280349,0.000822980371028002
"162","TIMP3",0.00286920500537072,0.00145628689590426
"163","CCL16",0.00286780672025202,0.0010437803120169
"164","AGRP",0.00271587676947803,0.000834353821376878
"165","SELP",0.00265070427527427,0.000997048051211208
"166","IL1RL1",0.00259634850968673,0.00123897545606031
"167","CNTF",0.00258663939580941,0.00110112883537156
"168","PDCD1LG2",0.00257075736964424,0.00116928002416303
"169","TNFSF14",0.00255416524859832,0.000989417224308305
"170","IL2RB",0.00248906877611383,0.000823973706273489
"171","SNCB",0.00237198498983226,0.00104833580296861
"172","CCL19",0.00234878401532733,0.0011725059209558
"173","CXADR",0.00227070407934896,0.000824681717076457
"174","CD70",0.00226226868118303,0.00111365112791901
"175","GDF2",0.00216903115913262,0.000808703848568541
"176","CD63",0.00214847143811518,0.00100485779561632
"177","FTH1",0.00213283842784435,0.000988164942967044
"178","CD4",0.0021099438210878,0.000899288919325453
"179","HGF",0.00210070952867341,0.000884786445871676
"180","CCL24",0.00207931702005233,0.000759849967456475
"181","CXCL6",0.00205840030314675,0.000892279723109273
"182","IL20",0.00205054918819116,0.000908626450436012
"183","IL7",0.00203823644795442,0.0008503293045202
"184","WNT16",0.0019779665887922,0.000908481749553612
"185","pTDP43-409",0.00195054687316315,0.00107985329582332
"186","LTA|LTB",0.00189669116438218,0.000733957336932547
"187","CCL20",0.00189555709361564,0.000937904718426958
"188","pSNCA-129",0.00187993690966302,0.00107461207646765
"189","BMP7",0.00187789727022846,0.00114123439331456
"190","Oligo-SNCA",0.00182660583256627,0.000810733699282316
"191","CTF1",0.00182387308283076,0.000954554743828518
"192","SDC1",0.00181739457020818,0.000724663252340027
"193","ANXA1",0.00174227310186197,0.000870545438384389
"194","NGF",0.0017063794398512,0.000648455473479471
"195","CCL21",0.00165575005587826,0.000680558859837691
"196","CD200R1",0.00162170011533185,0.000877362147430384
"197","PGK1",0.00161475758563839,0.000861333539783778
"198","HTT",0.00158327523539462,0.000867137914186023
"199","IL24",0.0015623799136845,0.000665623483501296
"200","CXCL5",0.00152803033246705,0.000739863083967694
"201","PDLIM5",0.00151656676015932,0.00061936347313774
"202","CXCL1",0.00146741564120468,0.000926175058590728
"203","IL32",0.00145768556816883,0.000554826056621132
"204","CXCL12",0.00137379179386471,0.000715757535819436
"205","THPO",0.0013483295000173,0.000897309900517439
"206","IRAK4",0.0013252981664106,0.000851083743664587
"207","BST2",0.00130627721426123,0.000794235956823095
"208","MICB",0.00128892805449915,0.000777888280460491
"209","TARDBP",0.00128448132530032,0.000773454660859824
"210","ENO2",0.00124698005824762,0.000937999203386766
"211","CLEC4A",0.00123765246140771,0.00059151776041505
"212","S100A9",0.00122441355315964,0.000488665273030932
"213","SNCA",0.00120101791199318,0.00095334356461703
"214","LIF",0.00119119501473875,0.00068004613398194
"215","CCL28",0.00114902520266526,0.000742278809242138
"216","TNFRSF8",0.0011447064909806,0.000836783925855023
"217","APOE4",0.00114064409319404,0.000745174261328589
"218","IL3RA",0.00111628107828238,0.000690916678561425
"219","IL4R",0.00110347054005771,0.00081725243161087
"220","TNFSF13",0.00109440277032057,0.000940328059376337
"221","IL18R1",0.00103909264478048,0.000533393178803494
"222","ACHE",0.0010268804028884,0.000478547676766547
"223","NPTXR",0.00102213894734433,0.000493289071494874
"224","MICA",0.00100695257627436,0.00057672885969619
"225","PDGFRB",0.000995211114797172,0.000523954303292184
"226","APOE",0.000992535432414243,0.00058750898775719
"227","PTN",0.000948430767702604,0.000612167705839797
"228","IL1RN",0.000928684324218239,0.000655468832375104
"229","CXCL3",0.000873649052688137,0.000587814538346514
"230","CD40LG",0.000844501006418739,0.000736544142056275
"231","TNFSF8",0.000837346425519883,0.000604133536086012
"232","WNT7A",0.000823101462587772,0.000598610375260106
"233","TNFSF12",0.000810486772526744,0.000536033365718221
"234","IL17RA",0.000807709374773395,0.000716861595045495
"235","NAMPT",0.000770345499249245,0.000549817948802117
"236","PDGFA",0.000766714764293113,0.000792596111315203
"237","MUC16",0.000736576982339656,0.000595717761623631
"238","IFNL1",0.000725978265045057,0.000526403800165304
"239","IL10",0.000722143491878882,0.000745789052679719
"240","IL12B",0.000706719015334869,0.00062614231534864
"241","PDCD1",0.000696973590594041,0.000600577052816833
"242","ARSA",0.000682133263860223,0.000672278931921652
"243","TNFSF10",0.000639036745383805,0.000379213591536243
"244","IL11",0.000638231809075336,0.000529660000436718
"245","CXCL2",0.000603326239522843,0.000720283402838003
"246","IFNW1",0.000561990131562666,0.000565900848566087
"247","ANXA5",0.000550459382873853,0.000655548292325182
"248","THBS2",0.000534285370852246,0.000369057952711805
"249","SOD1",0.000531617934887976,0.000571087568804428
"250","SELE",0.000528855778309349,0.000440636128765262
"251","BDNF",0.000527120108323516,0.000458187148281532
"252","RUVBL2",0.00049139739157404,0.000419287663909718
"253","ICAM1",0.000453994989840965,0.000444603656204921
"254","KLRK1",0.00045039729919921,0.000337681693132095
"255","CRP",0.000444221570825505,0.000362962344299225
"256","NPY",0.00043990138793589,0.00044987845551112
"257","OSM",0.000427650381590112,0.00021875519895337
"258","PDGFB",0.000409795448934247,0.000759389457568157
"259","IFNA1; IFNA13",0.000399167345339677,0.000429628367312075
"260","IL36G",0.000391192682746464,0.000202570527075144
"261","PARK7",0.000378563575780149,0.000455350634516399
"262","IL17RB",0.000354298804430542,0.000351639632059579
"263","CCL5",0.000335943674651276,0.000565081002680786
"264","CST7",0.000320301147393422,0.000366942044817817
"265","TLR3",0.000298737643676432,0.000353790833517497
"266","CSF2RB",0.000260004151137068,0.000253020479382991
"267","IL1B",0.000251922268151077,0.000125228183644627
"268","CCL22",0.00024893458801408,0.000399409433279471
"269","ICOSLG",0.000244168149186734,0.000380763951207602
"270","IFNG",0.00023167741370564,0.000502182904728699
"271","EGF",0.000224129478395199,0.000523396692906447
"272","NRGN",0.000222093742830651,0.000479529777085093
"273","NTF3",0.000217198273875709,0.000274829696438466
"274","KDR",0.000193279153439576,0.000274580395659204
"275","GZMA",0.00018317914002246,0.000231838696157871
"276","IL17B",0.000181453967109846,0.000248614208156214
"277","PRDX6",0.000170773447244628,0.000263458364173491
"278","CSF1R",0.000122780611803677,8.2611756380892e-05
"279","PTX3",0.000120263521551394,0.000155904878892611
"280","IL22",0.000119220272733855,0.000294001528652815
"281","GRN",0.000117025596580689,0.000146952602625107
"282","CCL26",0.000105103334811574,0.000327687289696348
"283","IL17A",9.4300291698346e-05,0.000381979351176159
"284","BACE1",9.20554662684481e-05,0.000229716693759545
"285","LTA",8.61567353999959e-05,0.000196391037908799
"286","CD200",6.97747259916071e-05,0.000235111229287185
"287","IKBKG",6.91865060694852e-05,0.000323083333656032
"288","IFNB1",6.59053057058401e-05,0.000242990968119525
"289","BASP1",5.80055475236918e-05,0.000107771447838937
"290","AGER",5.71847190752095e-05,9.8966833710624e-05
"291","IL27",5.67425755297535e-05,4.63684508856775e-05
"292","VSTM1",5.61343729852837e-05,0.000165894183813199
"293","GOT1",4.99115265224503e-05,0.000225856121318486
"294","TNFRSF13C",4.96356897645711e-05,0.000284930875828342
"295","IFNA2",4.43590767653035e-05,0.000158442964346961
"296","IL4",4.27373298603584e-05,0.00015544041789676
"297","MPO",3.80785905338144e-05,0.00014082010305781
"298","TEK",3.29825850603527e-05,0.000301225057939122
"299","MMP8",3.17975538947479e-05,8.21922618912468e-05
"300","FLT4",3.10475401866484e-05,8.90433276129927e-05
"301","IL36B",2.67099305038698e-05,0.000115050981149369
"302","CSF1",1.83298661271181e-05,0.000118789280099984
"303","YWHAZ",1.40067159239976e-05,0.000108903772533503
"304","CXCL13",8.16720006028504e-06,2.48451972035849e-05
"305","VGF",6.60672914889913e-06,0.000285594446199853
"306","IFNL2; IFNL3",4.77579626441127e-06,0.000293893143422337
"307","CSF3R",4.27101920855931e-06,0.000190571423558461
"308","CCL25",3.99119710486673e-06,0.0001247895961005
"309","age",0,0
"310","MMP9",-3.40587893084889e-06,0.000234875718615228
"311","CTSS",-3.53964454127719e-06,6.83297674195514e-05
"312","IL6R",-4.33283117033056e-06,0.000297618306909183
"313","IL34",-7.18108519251357e-06,0.000303148254222535
"314","MDH1",-7.55757957335846e-06,0.000145692052502883
"315","VSNL1",-8.40960571110827e-06,3.9645902922881e-05
"316","IL17F",-1.04483444514614e-05,5.51404202984811e-05
"317","TGFB3",-1.18458698864998e-05,9.01711677869836e-05
"318","CSF3",-1.56489152417549e-05,0.000146396567665448
"319","MME",-2.71327858182246e-05,0.000113116291199245
"320","FGF23",-3.67465339484596e-05,0.000200258759645831
"321","SNAP25",-4.01552494887625e-05,0.000157912242412831
"322","MERTK",-0.00010323717640695,0.000186896633705318
