"","Feature","Gain","Cover","Frequency"
"1","GFAP",0.457935131135519,0.188332135923814,0.070042194092827
"2","NEFL",0.159454522366149,0.110189700239991,0.0624472573839662
"3","FABP3",0.0950566050254004,0.0885904706583714,0.0565400843881857
"4","CCL11",0.047811293145446,0.0797780461333863,0.0742616033755274
"5","pTau-181",0.0391133858759535,0.0499625491065287,0.039662447257384
"6","TREM2",0.0257915634056753,0.0329720723337257,0.020253164556962
"7","CD40",0.0207034380680273,0.0268270685886363,0.0455696202531646
"8","CHIT1",0.0157434184200437,0.0417844968587108,0.0354430379746835
"9","CXCL14",0.0142213705749461,0.0169216894174475,0.0455696202531646
"10","AGRP",0.0123340999909741,0.0290282639600116,0.0261603375527426
"11","IL5RA",0.0117764323164033,0.0289136183677525,0.030379746835443
"12","CCL3",0.00995819360353658,0.0390482887234595,0.0438818565400844
"13","CST7",0.00912803452587274,0.0158516638896957,0.0286919831223629
"14","VCAM1",0.00894353529190441,0.017655421207906,0.0143459915611814
"15","WNT16",0.00736510510312754,0.00811690793194638,0.0177215189873418
"16","Aβ40",0.00666082459118196,0.0135740381234809,0.0135021097046414
"17","HTT",0.00627389513352568,0.00481511487488344,0.0126582278481013
"18","CRH",0.00624263499434216,0.0153777954416913,0.0286919831223629
"19","CCL13",0.00569175441187027,0.0101728855531268,0.0236286919831224
"20","GDNF",0.0050334225820405,0.0213240801601981,0.0286919831223629
"21","CXCL16",0.00492822342636883,0.00662651523257769,0.0143459915611814
"22","NEFH",0.00410315907007675,0.00596157079747474,0.010126582278481
"23","VEGFD",0.00388165057407386,0.0214005105550375,0.0278481012658228
"24","SMOC1",0.00203809239892406,0.00415781347926443,0.010126582278481
"25","TEK",0.0020202912908673,0.0160503829162781,0.0227848101265823
"26","CCL2",0.00146523203647551,0.00646601140341491,0.0151898734177215
"27","FCN2",0.0014231685691457,0.00388266405784252,0.00337552742616034
"28","IL12p70",0.00112790903868535,0.0013298888702059,0.00253164556962025
"29","TNFRSF11A",0.00102330801705912,0.00538834283617909,0.0126582278481013
"30","SDC1",0.000968107542309249,0.00376037542609945,0.00506329113924051
"31","CHI3L1",0.000937027302626263,0.00330179305706293,0.00337552742616034
"32","CCL22",0.000919424011622077,0.001712040844403,0.00337552742616034
"33","IL17A",0.000849965756406546,0.00665708739051346,0.0126582278481013
"34","IGFBP7",0.000724144536431264,0.00152860789678839,0.00421940928270042
"35","pTDP43-409",0.000716053885441861,0.00765068252342592,0.0109704641350211
"36","PGF",0.000652569495297925,0.00158210917317599,0.00253164556962025
"37","CTLA4",0.00056921334289063,0.00458582369036518,0.0126582278481013
"38","S100A9",0.000556132583751502,0.00255277518763662,0.00590717299578059
"39","TNFSF18",0.000511958116599521,0.00529662636237179,0.00759493670886076
"40","SLIT2",0.000445292741372674,0.000611443158715358,0.00168776371308017
"41","IL6R",0.000419945470972173,0.00642015316651126,0.0118143459915612
"42","CXCL9",0.000401264426284899,0.0050979073357893,0.00928270042194093
"43","SOD1",0.000399556093518273,0.00422660083461991,0.00590717299578059
"44","IL23",0.000391833078902777,0.00376037542609945,0.00506329113924051
"45","TNFSF12",0.000339890235371283,0.000955379935492747,0.000843881856540084
"46","CTSS",0.000324280008199521,0.00288906892493007,0.00506329113924051
"47","GDF15",0.000278755295011374,0.00164325348904752,0.00421940928270042
"48","LIF",0.000267342379376445,0.0024763447927972,0.00337552742616034
"49","OSM",0.000247135301283335,0.00350815512312937,0.00675105485232068
"50","HAVCR1",0.000241508575135955,0.000496797566456228,0.000843881856540084
"51","CNTN2",0.000203347203971477,0.000978309053944573,0.00168776371308017
"52","SELE",0.000191469822485286,0.000321007658325563,0.000843881856540084
"53","TLR3",0.000155855322649708,0.00240755743744172,0.00421940928270042
"54","IL1RN",0.000152811697485346,0.00143689142298109,0.00253164556962025
"55","S100A12",0.000152576269853484,0.001712040844403,0.00337552742616034
"56","IL17A|IL17F",0.00010618278043842,0.000917164738073037,0.00253164556962025
"57","IL17C",8.51452568472931e-05,0.000649658356135068,0.000843881856540084
"58","AGER",8.29571033374054e-05,0.00120760023846283,0.00253164556962025
"59","BACE1",6.09634576078963e-05,0.00134517494917379,0.00337552742616034
"60","CSF1",5.95561540801349e-05,0.000626729237683242,0.000843881856540084
"61","APOE",5.44266912357576e-05,0.000871306501169385,0.00168776371308017
"62","FLT3LG",5.33221732691712e-05,0.00134517494917379,0.00337552742616034
"63","CD80",5.23271678402892e-05,0.00192604594995338,0.00506329113924051
"64","IL10",4.37813727233819e-05,0.000535012763875938,0.000843881856540084
"65","AREG",3.461446772414e-05,0.00065730139561901,0.00168776371308017
"66","TNFSF4",2.91480553063574e-05,0.000313364618841621,0.000843881856540084
"67","MDH1",2.41641948375235e-05,0.000458582369036518,0.000843881856540084
"68","CD274",2.34884570108676e-05,0.000420367171616809,0.000843881856540084
"69","BST2",1.32280910229008e-05,0.000336293737293447,0.000843881856540084
"70","IRAK4",9.53909785164085e-06,0.000321007658325563,0.000843881856540084
