"","Variable","Importance","StDev"
"1","AGRP",0.776669125786693,0.0699226119028744
"2","GFAP",0.64598839734434,0.0750804218243493
"3","BMP7",0.621236776779278,0.0595129098863858
"4","CCL11",0.591897574359275,0.0518426031830529
"5","TREM2",0.587238933502339,0.064099454712211
"6","CNTN2",0.573009631177374,0.0712250269752992
"7","CHI3L1",0.573005879657602,0.0759523418613061
"8","CST7",0.51182190846485,0.0538276295748725
"9","VEGFD",0.474733029005658,0.0560377401971525
"10","NEFL",0.421086555311327,0.0550031438733886
"11","CRH",0.417561756178794,0.0526106104366267
"12","NEFH",0.400650591236108,0.0409675522268523
"13","TNFSF11",0.386917567696014,0.0451618873956894
"14","IL5RA",0.384979539881743,0.0530430239758051
"15","NPTXR",0.37158500032182,0.052745216536622
"16","FGF21",0.366257751665924,0.0471119184592081
"17","IL17B",0.335107120003585,0.0485635414543551
"18","FABP3",0.332884425704354,0.0463351816681372
"19","THPO",0.319005666225557,0.0448717527569986
"20","CCL21",0.316010532559368,0.0438051379713018
"21","SDC1",0.31480068831927,0.0430486347631518
"22","YWHAZ",0.308556273098491,0.0450229445550726
"23","KLRK1",0.303886777136088,0.0438033333205923
"24","IL4R",0.301987426989391,0.04409066999343
"25","IL2",0.284178238733273,0.0477086751203503
"26","GDNF",0.283353207870341,0.0439224234914512
"27","HLA-DRA",0.268542401414419,0.040270759061745
"28","KNG1",0.263114466913272,0.0389428865236944
"29","IGFBP7",0.260632897683479,0.0456410812664135
"30","BST2",0.260298017712342,0.0432369420503982
"31","IL13",0.252058220886329,0.036448296057524
"32","VSNL1",0.236420891521355,0.037893392913193
"33","MICB",0.23581782066448,0.0338008595394975
"34","LAMP3",0.233978175378498,0.0374089188465741
"35","IL15RA",0.2174478805957,0.0425447273633213
"36","CD40",0.210944962386656,0.0387598746354857
"37","NPTX2",0.210136683133575,0.0368987678086146
"38","CD63",0.208874400093985,0.0379029268545268
"39","HBA1",0.208556993388242,0.03451502224746
"40","S100A9",0.207987263926924,0.032613996077793
"41","FASLG",0.198331234031304,0.0313130825801747
"42","TREM1",0.18995126275899,0.0353419583397506
"43","CSF1",0.188932756246078,0.0343122097988711
"44","KDR",0.188625469216613,0.0341287803364677
"45","GDI1",0.187240260092496,0.0441620983828264
"46","TEK",0.184440323939847,0.0374081748181092
"47","TNFRSF8",0.172784277527394,0.0393557683218682
"48","HAVCR1",0.171373884476543,0.030826872905464
"49","CD3E",0.167100559399944,0.0296132533385819
"50","TNFSF15",0.166281742703301,0.0269965915454252
"51","PDCD1",0.165047941385898,0.0363433671016294
"52","IL12p70",0.164752529805171,0.0363137623534804
"53","TNFRSF13B",0.163584247730717,0.0273023489787298
"54","CSF2",0.159418826793783,0.0358970817929387
"55","IL9",0.159359082516519,0.029019292422459
"56","FGF19",0.157783949444639,0.0315850745803862
"57","SMOC1",0.155269865283455,0.0271388393994942
"58","CXCL9",0.154826683571744,0.02433228816959
"59","CD27",0.154730714697562,0.0319603865039738
"60","TNFSF10",0.154364127666613,0.0219645288996552
"61","SFTPD",0.151755505933992,0.0259174534721627
"62","GDF2",0.148446696871795,0.0376164256245852
"63","OSMR",0.146880742066061,0.0274633624162573
"64","CCL25",0.146257175966983,0.033581515979573
"65","TNFSF18",0.145521269147288,0.0309768688090156
"66","IL7R",0.145102803921913,0.0291518532267403
"67","WNT16",0.14445124083331,0.023659345426903
"68","GOT1",0.143928473753987,0.0338164197737494
"69","CALCA",0.142474933122594,0.0384952150941577
"70","TNFSF9",0.142359825752032,0.0333817150054961
"71","CHIT1",0.141359646745657,0.0316001301700618
"72","CST3",0.139497829126613,0.0292499083134553
"73","CCL14",0.138595525782008,0.0274454807771102
"74","NPTX1",0.13539695197481,0.0296793698696245
"75","pTau-181",0.135137672447308,0.024016138236511
"76","S100A12",0.131906192440744,0.0277912654906672
"77","VCAM1",0.131074089641799,0.0285041173114217
"78","TNFRSF17",0.129770588330453,0.0277647420787078
"79","CCL4",0.128201593733025,0.0262973685217743
"80","IL36B",0.127789694311507,0.0212692674854641
"81","CD80",0.127396476824329,0.0253293153440739
"82","KLK6",0.126359150569628,0.0272815139675188
"83","PDLIM5",0.122341660013302,0.0242501230949263
"84","IL4",0.121593784075544,0.0254297487697046
"85","CCL2",0.121148809159376,0.0251346951598122
"86","NTF3",0.121064553451618,0.0254286236353475
"87","CCL26",0.120859597053643,0.0277772063023007
"88","IL24",0.120495881887979,0.0302057309131091
"89","FTH1",0.119454835647647,0.0251664834527661
"90","LGALS9",0.116441141249048,0.0275109671796488
"91","IL1B",0.116092886744742,0.0277316716488633
"92","IL22",0.11605607275316,0.0280439928154642
"93","GZMA",0.115160435423631,0.0199495259843094
"94","CD276",0.114708091253705,0.0240041069802363
"95","CD200R1",0.114295016177408,0.0235430701236829
"96","OSM",0.112537024593748,0.0216581186408515
"97","CD274",0.111579915914262,0.0271224239779323
"98","MMP3",0.111288227822981,0.0192516692287982
"99","CTF1",0.109854706411103,0.025941083611572
"100","PDCD1LG2",0.108047461957842,0.0189837083817367
"101","PTX3",0.107950157883951,0.0213330211153877
"102","KITLG",0.107766501459005,0.0209135815863927
"103","MUC16",0.107265410241999,0.0241182056603113
"104","pTau-217",0.10605948378852,0.0183161527996454
"105","CCL22",0.104517130603989,0.020700944559051
"106","CCL13",0.104213555304177,0.0189018421034211
"107","FCN2",0.10408538078636,0.0228683768588926
"108","SPP1",0.103809103048781,0.0227078589669985
"109","CXCL14",0.102441056422583,0.0286204777921691
"110","MDH1",0.100587669995188,0.0249047835556279
"111","BACE1",0.0960904321913228,0.0223386431007924
"112","MMP12",0.0946880369070159,0.0199995500547706
"113","CXCL13",0.0931921930891986,0.0218378535011086
"114","IL12RB1",0.0930311745880573,0.0203168124465275
"115","CXCL5",0.0929327358365326,0.0205047767629784
"116","S100B",0.0911122898973966,0.0238520819228016
"117","IL32",0.0910062134754746,0.0190911923477547
"118","POSTN",0.089303354941867,0.0169636320653701
"119","IL10",0.08912677596025,0.0196381233863924
"120","CXCL8",0.0877884294779356,0.0205212774531689
"121","CX3CL1",0.0863933821769497,0.0194240757504071
"122","CSF3",0.0860443191145748,0.0258701222516015
"123","TNFRSF1A",0.0835933737809685,0.0205427808705534
"124","IRAK4",0.0832062630400542,0.0186762600374191
"125","AGER",0.0817877263215176,0.0208882448255631
"126","TIMP1",0.0816545649148068,0.0197181208492938
"127","IL18",0.0797854301220646,0.0243807910602463
"128","THBS2",0.0781647150168154,0.0217550701835455
"129","CXCL6",0.0777283164815541,0.0219449705524495
"130","CD40LG",0.0769804598921563,0.0223373614688719
"131","PARK7",0.0758973259443353,0.0176613936409982
"132","BASP1",0.0758140750591146,0.0145064199171434
"133","IL36A",0.0742899803851122,0.0192477497007681
"134","IL1RN",0.074198188828391,0.0181807054051714
"135","NPY",0.0741800969404549,0.0210725780264946
"136","IL23",0.0726717744883894,0.0199011474009422
"137","MAPT",0.0723447653215592,0.0207426487818281
"138","IFNA2",0.0717715738162997,0.0322512687726405
"139","GZMB",0.071493032857216,0.0175753936497884
"140","CCL24",0.0707817007601928,0.0113142746434401
"141","CCL1",0.0706446417167393,0.0149962664364383
"142","FGF23",0.0705415414725869,0.0190023219044115
"143","TNFSF12",0.0700514021017166,0.0168243383316757
"144","IL13RA2",0.0697098728022157,0.0172311652900384
"145","SNAP25",0.0669653093451042,0.0179464701267708
"146","TGFB1",0.0669233952994553,0.0182883886790287
"147","CD46",0.0666965199879136,0.0163982860929604
"148","REST",0.0666387397009507,0.0145055980392652
"149","ANXA1",0.0663126529051054,0.0183107621027002
"150","IFNL1",0.0658402127516495,0.0153884100601218
"151","CCL27",0.0653289036240714,0.012083416385868
"152","IGF1R",0.065158018110123,0.0149336297144758
"153","FLT3LG",0.0643590907554719,0.0152049478162098
"154","VSTM1",0.0637975345043659,0.0158050895282305
"155","APOE4",0.0635330592862944,0.0182258176395501
"156","CCL28",0.0633335645125864,0.0112303741310373
"157","SAA1",0.0625933775947349,0.0170669995757053
"158","MPO",0.0624590584319507,0.0135336335398651
"159","Aβ38",0.0624052679406429,0.0124402233699708
"160","CD70",0.0622460438189645,0.0190757003652319
"161","PRDX6",0.0620911262892541,0.0117533882898278
"162","C1QA",0.0620514530091919,0.0156992057840389
