"","name","coefficient"
"1","(Intercept)",-57.4895802664892
"2","AGRP",-2.96118026467244
"15","CD63",-2.57050880093715
"63","SDC1",-2.52663050579342
"43","IL4R",-1.98562128245603
"4","BMP7",-1.79440519428644
"50","KLRK1",-1.79246909943308
"57","NPTXR",-1.75833774624393
"64","SELE",-0.974802628838965
"22","CST7",-0.945283982182215
"62","S100A9",-0.899778421658308
"46","IL7R",-0.84827125684312
"9","CCL21",-0.732641861134581
"54","MUC16",-0.728918522898715
"5","BST2",-0.61220136447126
"67","THPO",-0.551542969479963
"31","FGF23",-0.517672290173091
"60","PDLIM5",-0.500675439469715
"76","VSNL1",-0.350985157842972
"20","CSF2RB",-0.317642583386968
"27","FASLG",-0.303328206463018
"33","GDNF",-0.275460777893074
"23","CX3CL1",-0.220883404134035
"10","CCL22",-0.216807567333861
"70","TNFSF11",-0.211176277775864
"8","CCL19",-0.208349817877725
"42","IL22",-0.175945117949456
"12","CCL26",-0.168672323407911
"3","ANXA1",-0.15322124051586
"69","TNFRSF13C",-0.140489634069691
"11","CCL25",-0.11479122725481
"58","OSM",-0.0683385673633162
"19","CRH",-0.0426564334177722
"14","CD3E",-0.041702721538787
"48","IRAK4",0.00687108206243557
"16","CEACAM5",0.0235762709051413
"52","LILRB2",0.0270664732819546
"44","IL5",0.0531907059246523
"28","FGF19",0.061127607372922
"38","IL16",0.0724566443653627
"25","CXCL9",0.0846156347265002
"26","FABP3",0.138196151701955
"39","IL18",0.204919100483267
"68","TNFRSF13B",0.220915661310961
"41","IL2",0.2256024981455
"35","HBA1",0.245268218137793
"72","TNFSF9",0.249971762053343
"59","OSMR",0.256100112675652
"47","IL9",0.266323765402618
"49","KDR",0.277404425353008
"66","SMOC1",0.336700305461026
"32","FLT3LG",0.349445684502714
"29","FGF2",0.388452085508846
"65","SFTPD",0.492740914375561
"53","MMP12",0.499082988158931
"55","NEFH",0.504705004930116
"24","CXCL10",0.506272582365759
"36","HLA-DRA",0.610079726173086
"77","WNT16",0.660431069500318
"13","CCL27",0.695632056789133
"30","FGF21",0.71482945328514
"40","IL1R1",0.783352911630503
"37","IL12p70",0.803193304186952
"7","CCL13",0.821694086690521
"21","CST3",0.835611402223576
"51","LAMP3",0.880723368949487
"73","TREM1",0.91271390448572
"34","GFAP",0.9791155181685
"18","CNTN2",0.998230803614756
"17","CHI3L1",1.07650515581654
"61","PGF",1.2273384763043
"56","NEFL",1.76782288521415
"45","IL5RA",1.97296899814751
"71","TNFSF15",2.88322515056948
"75","VEGFD",3.06973653140329
"6","CCL11",3.47938239395602
"74","TREM2",3.52460470819956
