"","Feature","Gain","Cover","Frequency"
"1","GFAP",0.279888695378549,0.0150402950580177,0.0110803324099723
"2","NEFL",0.179178662730001,0.00864577470691782,0.00738688827331487
"3","CCL11",0.175718515982259,0.012597444586811,0.0110803324099723
"4","FABP3",0.071504951904905,0.00576584559748051,0.00646352723915051
"5","CHIT1",0.029379954268343,0.00913075237399562,0.00646352723915051
"6","pTau-181",0.0202300002461207,0.00617897472128753,0.00554016620498615
"7","VEGFD",0.01208566439876,0.00577183297608641,0.00461680517082179
"8","TNFRSF11A",0.0108432548638242,0.000838233004825827,0.000923361034164358
"9","CST7",0.010253907583396,0.0146870397202697,0.0138504155124654
"10","IL5RA",0.0096988692576023,0.00378402327892802,0.00646352723915051
"11","AGRP",0.00917034209547919,0.0072626902489552,0.00738688827331487
"12","pTau-231",0.00880772978808223,0.00687351063957178,0.00554016620498615
"13","FASLG",0.00842630154608177,0.0019279359110994,0.00369344413665743
"14","FGF21",0.00788855459714745,0.00539462812391479,0.00554016620498615
"15","KITLG",0.00787531675546368,0.0014549330012334,0.00369344413665743
"16","IKBKG",0.00786038384210734,0.00135913494353902,0.00369344413665743
"17","CD40",0.0071717143861444,0.00402351842316397,0.00461680517082179
"18","CXCL13",0.00646917612367399,0.0053407417164617,0.00646352723915051
"19","MMP9",0.00478220949111964,0.00440072327533559,0.00277008310249307
"20","S100A9",0.0047250358369499,0.0175789435869188,0.0110803324099723
"21","MMP3",0.00434460580457151,0.00752613490761475,0.00554016620498615
"22","HAVCR1",0.00388500227709086,0.00807098636075154,0.00738688827331487
"23","TREM2",0.00340732777364287,0.00235303979211821,0.00461680517082179
"24","TSLP",0.00305029141116499,0.000892119412278916,0.00184672206832872
"25","CCL20",0.00304059160966764,0.00450250871163587,0.00554016620498615
"26","BACE1",0.00299139460778357,0.00455040774048306,0.00369344413665743
"27","KLRK1",0.00252903959790448,0.0019279359110994,0.00277008310249307
"28","PRDX6",0.00249092225393803,0.00082625824761403,0.00184672206832872
"29","GDI1",0.00249064269470812,0.00223927959860614,0.00184672206832872
"30","IL4R",0.00247025623311877,0.00104779125603228,0.00184672206832872
"31","GDNF",0.00239579927426726,0.0043647990037002,0.00461680517082179
"32","IL1B",0.00239305235499525,0.00559819899651535,0.00646352723915051
"33","SMOC1",0.00211469636510824,0.00861583781388832,0.00831024930747922
"34","BMP7",0.0020975998412041,0.00173035241710474,0.00277008310249307
