"","j","error","rmse","cor","auc","gamma","cost"
"1",1,21.2072074612724,20.0550868794205,0.589678752577056,0.736607142857143,1e-05,0.5
"2",2,20.3485848054533,19.3132716553949,0.608825409553447,0.740178571428571,2e-05,0.5
"3",3,19.6805890144497,18.6795016051888,0.6227736964086,0.741071428571429,3e-05,0.5
"4",4,19.1119398612427,18.1682242841312,0.632533894154883,0.741071428571429,4e-05,0.5
"5",5,18.6718082011447,17.783290843139,0.643017913813265,0.744642857142857,5e-05,0.5
"6",6,18.2343412351475,17.3721131520065,0.648793697959365,0.747767857142857,6e-05,0.5
"7",7,17.8787515760968,17.0138818897346,0.65638063719122,0.749107142857143,7e-05,0.5
"8",8,17.5253362611463,16.7055782857967,0.665929510528322,0.752678571428572,8e-05,0.5
"9",9,17.2287814740439,16.4402904733387,0.673522736905638,0.752232142857143,9e-05,0.5
"10",10,16.9396890438378,16.1933219554724,0.679788425253013,0.754017857142857,1e-04,0.5
"11",11,16.6958806369476,15.9616802762942,0.68991579738156,0.754464285714286,0.00011,0.5
"12",12,16.4633624212621,15.7475335120838,0.698187328952749,0.755803571428571,0.00012,0.5
"13",13,16.2387761079865,15.5430274963969,0.706209692891062,0.754017857142857,0.00013,0.5
"14",14,16.0111948457144,15.3515752833081,0.713851807573788,0.753571428571429,0.00014,0.5
"15",15,15.8144921489052,15.1807421595853,0.721404888515815,0.758928571428572,0.00015,0.5
"16",16,15.5935562230844,14.9994651087737,0.728559873342471,0.759821428571429,0.00016,0.5
"17",17,15.3993853986912,14.8383670660681,0.734732718425668,0.760267857142857,0.00017,0.5
"18",18,15.2456725737165,14.6978559305399,0.739802897246668,0.759821428571429,0.00018,0.5
"19",19,15.0983415108429,14.5696838460851,0.744779738952276,0.760714285714286,0.00019,0.5
"20",20,14.9340768330434,14.4316696867649,0.75010677261295,0.7625,2e-04,0.5
"21",21,14.7803236611554,14.2937925082653,0.756039841622484,0.763392857142857,0.00021,0.5
"22",22,14.6353274522734,14.1608385204577,0.76172675667676,0.765625,0.00022,0.5
"23",23,14.4756511509168,14.0146448019883,0.767295624132334,0.767857142857143,0.00023,0.5
"24",24,14.3290710150272,13.8728145434823,0.772695909803719,0.768303571428572,0.00024,0.5
"25",25,14.2119935242526,13.7560894254208,0.77725540448818,0.767857142857143,0.00025,0.5
"26",26,14.1037206506831,13.6472945701462,0.78148135481158,0.76875,0.00026,0.5
"27",27,13.9863606869851,13.5293033144355,0.785883216959866,0.768303571428572,0.00027,0.5
"28",28,13.8662421564085,13.4115945059924,0.790207462324353,0.766517857142857,0.00028,0.5
"29",29,13.7464767916419,13.2947140615657,0.794522674340712,0.767410714285714,0.00029,0.5
"30",30,13.6287133299483,13.17811345966,0.798858253368788,0.768303571428572,3e-04,0.5
"31",31,13.5154336303447,13.0616261565741,0.803250991934801,0.76875,0.00031,0.5
"32",32,13.401280972978,12.9468136028595,0.807466121366176,0.769642857142857,0.00032,0.5
"33",33,13.2893716780122,12.834918939709,0.811487695444361,0.769196428571429,0.00033,0.5
"34",34,13.1859194253788,12.7317240231127,0.815147946511352,0.770535714285714,0.00034,0.5
"35",35,13.0856869913263,12.631302547389,0.818580252910477,0.76875,0.00035,0.5
