"","Variable","Importance","StDev"
"1","TREM2",0.748519477151537,0.0590781301721002
"2","CCL11",0.717506388227696,0.0830761336616566
"3","AGRP",0.604459645816759,0.0808376290879432
"4","CHI3L1",0.57408840874766,0.0545370863378224
"5","GFAP",0.566099827829349,0.0663339507885288
"6","CRH",0.552476051169727,0.0588516424263659
"7","NEFL",0.54441938779465,0.0633888259859423
"8","CNTN2",0.51786563092714,0.0618825127656945
"9","BMP7",0.491100565380921,0.0656369561648469
"10","KLRK1",0.467940596238009,0.0596498917530138
"11","GDNF",0.417397693388908,0.0505572454664733
"12","NEFH",0.405561044340449,0.0583784538103795
"13","CST7",0.398233162167449,0.0577556843584835
"14","VEGFD",0.380792084936732,0.0588386373936842
"15","VSNL1",0.365558544742668,0.0564759823702165
"16","NPTXR",0.35980738311904,0.050738252812712
"17","IL17B",0.359653908094545,0.0636409380015736
"18","FGF21",0.357350598064181,0.0495429649739128
"19","HBA1",0.349652910066686,0.0649363293643422
"20","TNFRSF13B",0.343792260267316,0.0403428968586609
"21","TNFSF11",0.340849657301702,0.0497489397008457
"22","IL18R1",0.333712010722317,0.0454197776834781
"23","FTH1",0.309683250259141,0.0527016318605838
"24","BST2",0.308391807910716,0.0566892547137167
"25","CCL15",0.300559474067097,0.0380791328893332
"26","IL12p70",0.299776794549675,0.0547406422387077
"27","KDR",0.287141474624337,0.0487506021224281
"28","PDLIM5",0.278466868478784,0.0449570673293475
"29","S100A9",0.276980219784193,0.0454580135756293
"30","CCL5",0.273489759592592,0.0457773529854696
"31","IL4R",0.271745471757682,0.0483391361406794
"32","YWHAZ",0.26749973489983,0.0461613733575327
"33","CD63",0.266894432705814,0.0556705969474476
"34","TNFSF15",0.2625285440673,0.049512481067093
"35","LAMP3",0.252264837241108,0.0434616035737382
"36","CCL21",0.237745415078169,0.0413492699166661
"37","IL7R",0.231070086406681,0.0395540941173282
"38","IL2",0.2205236140408,0.050769222492863
"39","NPTX1",0.217347274013215,0.0468775645244851
"40","IL15RA",0.212133589238661,0.0494299983563789
"41","THPO",0.208740966732767,0.0362085995069628
"42","IL5RA",0.207517505045617,0.0397922039751831
"43","NPTX2",0.200391346806988,0.0385773502519886
"44","HAVCR1",0.194949934276186,0.0426703524858417
"45","CD40",0.191115836068638,0.0418445919375685
"46","FABP3",0.189865067163417,0.0408656910166161
"47","S100B",0.182647543203301,0.0405353049287633
"48","GDI1",0.181143108517075,0.0398535443188329
"49","MICB",0.172028997493839,0.03320641413387
"50","SDC1",0.168489728522244,0.0378700589121496
"51","ANXA1",0.160372021927001,0.0266131044501819
"52","CCL26",0.159932399459325,0.0452718671447294
"53","CCL27",0.157801940845866,0.0329273939760791
"54","BACE1",0.157763371958968,0.0329989893638313
"55","CSF3",0.157455290583987,0.0463520471425815
"56","KLK6",0.156047198730967,0.0299449662128149
"57","FCN2",0.15581696707741,0.0322541052491842
"58","CCL14",0.154513756543522,0.0340638829150262
"59","NTF3",0.150667005107297,0.0270166638821609
"60","IL1RL1",0.150662141627363,0.0393244672538775
"61","IL16",0.148425431655705,0.0330282012615572
"62","CXCL9",0.147178116350384,0.0317444882657729
"63","CXADR",0.146866920184558,0.0361972776711143
"64","SELE",0.140392660525262,0.0348125373045105
"65","VGF",0.138927014965767,0.0319920703583776
"66","FLT3LG",0.13791798375815,0.0331447177299132
"67","TNFRSF17",0.133995849534151,0.0284439396307828
"68","CD80",0.130062079394434,0.0357422488220396
"69","IL24",0.129694919030645,0.0329684843519202
"70","CEACAM5",0.124845813176526,0.0393684178835532
"71","TREM1",0.124418868353488,0.0293093225936853
"72","CXCL10",0.124272531662882,0.0318741354831292
"73","TNFRSF8",0.120323018598528,0.0359077465770968
"74","IL33",0.11583382838503,0.0282534314558053
"75","IL12RB1",0.115729372682442,0.0289959317697408
