"","name","coefficient"
"36","CX3CL1",-3.80155654159882
"4","AGRP",-3.30290420088323
"10","BMP7",-2.49765980988378
"98","KLRK1",-2.46285034790041
"8","BACE1",-2.42381637785111
"90","IL4R",-2.21976462569217
"93","IL7R",-2.04434272572169
"65","IL10RB",-1.97977195925278
"17","CCL21",-1.97970251557207
"144","THPO",-1.94119251206632
"152","TNFRSF8",-1.892250328503
"76","IL18R1",-1.74848768163773
"103","MAPT",-1.66782768313757
"25","CD63",-1.51123445545656
"11","BST2",-1.40256869855492
"153","TNFSF10",-1.3480274761243
"135","SDC1",-1.33425823731527
"164","VEGFC",-1.29452759822612
"35","CST7",-1.23739365447797
"78","IL1R2",-1.23200208578662
"167","VSNL1",-1.23068880264166
"79","IL1RL1",-1.21944891198086
"154","TNFSF11",-1.20085624094415
"18","CCL22",-1.19958758860291
"120","NPTXR",-1.17501624652558
"48","FGF23",-1.16549477837762
"132","REST",-1.10468958720211
"117","NGF",-1.08761240693651
"3","AGRN",-1.05154433589374
"2","AGER",-1.04638914991852
"133","S100A9",-1.02262037657819
"169","YWHAZ",-0.979742174165245
"131","PTX3",-0.963905088605331
"5","APOE",-0.912193333573822
"141","SQSTM1",-0.878987845778834
"80","IL1RN",-0.862674283071233
"143","THBS2",-0.845162600914099
"24","CD3E",-0.703178407674363
"54","GDNF",-0.688964384786713
"140","SPP1",-0.644527429131153
"33","CSF2RB",-0.608513121603807
"77","IL1B",-0.595875781543383
"97","KLK6",-0.581377455526975
"124","PDCD1",-0.558262927585062
"73","IL17B",-0.535000118019263
"112","MUC16",-0.491243328572432
"86","IL33",-0.485932179984657
"40","CXCL13",-0.467032031666995
"130","PTN",-0.460028498767258
"148","TNF",-0.457168599046642
"42","CXCL6",-0.44859674673475
"136","SELE",-0.43445021240818
"61","IFNG",-0.430812206410036
"127","PDLIM5",-0.407110191703285
"104","MDH1",-0.372821478684126
"134","SCG2",-0.370899177715214
"60","IFNA1; IFNA13",-0.28256708113809
"72","IL17A",-0.278256743011231
"20","CCL25",-0.267273797495695
"151","TNFRSF1B",-0.254578101210312
"105","MICB",-0.224590625327177
"41","CXCL14",-0.210839259183171
"37","CXCL1",-0.203995614785941
"56","GOT1",-0.200367411546014
"83","IL24",-0.177198050547694
"122","NTF3",-0.0843011001534018
"43","CXCL8",-0.0554507112350734
"82","IL22",-0.0453210166672977
"16","CCL19",-0.0421134642420975
"84","IL27",-0.041468228369971
"145","TIMP2",-0.00538547966335548
"74","IL17F",-0.00410049304835828
"88","IL36B",-0.00359725857971935
"6","APOE4",-0.00303915454746443
"23","CD274",-0.00186611205789411
"126","PDGFA",-0.000465041757287535
"106","MIF",0.00258485343176295
"87","IL34",0.006547652552164
"102","LTA|LTB",0.0113742038436337
"7","AREG",0.0215183284392228
"39","CXCL12",0.0512095387042654
"19","CCL24",0.0653594288382316
"91","IL5",0.0691826242701894
"45","FGF19",0.070178185578485
"113","NAMPT",0.0723935592474514
"146","TIMP3",0.0757510243858453
"118","NPTX1",0.10389442009069
"50","FLT4",0.110919416025348
"30","CHIT1",0.115190016184289
"44","CXCL9",0.117582989416832
"166","VGF",0.119095745849034
"138","SLIT2",0.120971792310377
"114","NCR1",0.132549405453225
"68","IL13",0.153673317567883
"66","IL12RB1",0.190243348353856
"125","PDCD1LG2",0.200993575426886
"22","CCL4",0.203482750669588
"9","BASP1",0.210233712680942
"116","NEFL",0.211579162441517
"107","MME",0.213353532786899
"147","TLR3",0.218768705339151
"69","IL13RA2",0.227989669501055
"101","LILRB2",0.234662282637213
"142","TGFB3",0.243199542531738
"162","TSLP",0.275898428007706
"109","MMP3",0.311180285587764
"31","CNTF",0.311810031469875
"28","CEACAM5",0.322563365826295
"155","TNFSF12",0.332844077719201
"62","IFNW1",0.368392929914983
"157","TNFSF18",0.415199614291106
"115","NEFH",0.416151919212236
"137","SFTPD",0.432474592327874
"111","MSLN",0.438294024650543
"34","CST3",0.455211154659456
"21","CCL27",0.457588209751141
"58","HBA1",0.482416723245217
"67","IL12p70",0.491357899050693
"46","FGF2",0.496964140485715
"159","TNFSF9",0.556924661175007
"75","IL18",0.559841912921542
"26","CD70",0.564169083950098
"15","CCL15",0.56977971399253
"129","POSTN",0.574789716092517
"71","IL16",0.605739954891522
"89","IL3RA",0.612231598145655
"139","SMOC1",0.624991390144158
"27","CD80",0.627393047705323
"14","CCL14",0.631184612989794
"110","MMP9",0.679400030681693
"85","IL2RA",0.705402831304066
"52","GDF2",0.750111032801269
"149","TNFRSF13B",0.752836783779913
"64","IKBKG",0.752930580806722
"94","IL9",0.770085654663084
"96","KITLG",0.777896899889602
"158","TNFSF4",0.811428918381718
"119","NPTX2",0.817418901917906
"38","CXCL10",0.819312956853096
"51","FTH1",0.82825437451757
"121","NPY",0.877286139066047
"170","pTau-181",0.892047184934887
"47","FGF21",0.92341422333275
"12","C1QA",0.940147531555012
"29","CHI3L1",0.98298856662398
"95","KDR",1.00242239072984
"168","WNT16",1.0359556624015
"150","TNFRSF17",1.13032107947697
"49","FLT3LG",1.16728397433495
"81","IL2",1.20171416413448
"160","TREM1",1.27126405001244
"32","CNTN2",1.27924270550784
"163","VCAM1",1.28843116783711
"99","LAMP3",1.29157583064653
"57","GRN",1.32500610137338
"59","HLA-DRA",1.3585729884943
"128","PGF",1.37559671475193
"92","IL5RA",1.49177096030219
"108","MMP12",1.5207900577355
"53","GDI1",1.68928887125569
"13","CCL11",1.80120162404998
"156","TNFSF15",2.06585479260134
"123","OSMR",2.27746724888928
"70","IL15RA",2.29561039882803
"55","GFAP",2.32581721089428
"100","LCN2",2.59312941633934
"161","TREM2",3.05501907001869
"63","IGFBP7",3.57903666740592
"165","VEGFD",4.79696820552102
"1","(Intercept)",10.611422565086
