"","Feature","Gain","Cover","Frequency"
"1","GFAP",0.34646842999921,0.0463095438478371,0.0264150943396226
"2","NEFL",0.205170423361509,0.0458676990405656,0.030188679245283
"3","CCL11",0.0602569299928502,0.0214750603153229,0.0169811320754717
"4","FABP3",0.0434371876732426,0.0152681927846042,0.0113207547169811
"5","CHIT1",0.0279573430130769,0.0210893227851652,0.0141509433962264
"6","TNFSF15",0.023930117191419,0.0285656174605846,0.0179245283018868
"7","AGRP",0.0182166206375449,0.0131431296639174,0.0160377358490566
"8","S100A9",0.0134815619016172,0.0141951411098019,0.0160377358490566
"9","CHI3L1",0.0132449313442295,0.0250168321831342,0.019811320754717
"10","TREM2",0.0119803106841737,0.011516018627616,0.00849056603773585
"11","CSF3",0.010636601836825,0.0294142400269315,0.0179245283018868
"12","CST7",0.00992680305103261,0.0154365146159457,0.0150943396226415
"13","FCN2",0.00899591401237645,0.00983280031420075,0.0122641509433962
"14","NPTXR",0.00693229575956567,0.00904729843460697,0.00943396226415094
"15","CRH",0.00649419349312773,0.00699938281995175,0.0141509433962264
"16","IL12p70",0.00628177909230896,0.00594035796442799,0.00471698113207547
"17","IL17B",0.0060894559569887,0.00612270661504797,0.00849056603773585
"18","ANXA1",0.00591501839293375,0.00453767603658194,0.00754716981132075
"19","CD40",0.00476209008983282,0.015141951411098,0.0122641509433962
"20","pTau-181",0.004652816266556,0.00204791561465522,0.00283018867924528
"21","TREM1",0.00434198066839737,0.00641025641025641,0.00660377358490566
"22","IL22",0.00433947136048092,0.00291056500028054,0.00471698113207547
"23","VCAM1",0.00429945428910867,0.00526707063906189,0.00566037735849057
"24","SDC1",0.00429543064295513,0.0043413005666835,0.00943396226415094
"25","IL2",0.00407752867242661,0.00548448633787802,0.00660377358490566
"26","BST2",0.00395756679446594,0.00327526230152051,0.00566037735849057
"27","CXCL10",0.00382203062154132,0.00197778151826292,0.00188679245283019
"28","TNFSF18",0.00373411079486805,0.00298069909667284,0.00377358490566038
"29","CXCL9",0.00356313058340885,0.00248274701228749,0.00283018867924528
"30","Aβ40",0.00339499272270008,0.00305083319306514,0.00471698113207547
